Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	1172	   1	   2	   1	   0	   0	  30	  70	  50	 306	1483	2655	   0	   0	
   2	   2	  50	   4	 656	   3	   2	   1	   0	   1	  30	  70	  50	 427	4383	5039	   0	   0	
   3	   3	  30	   4	 432	   1	   2	   2	   0	   1	  30	  70	  50	 439	6783	7215	   0	   0	
   4	   4	  50	   3	 564	   3	   2	   2	   0	   2	  30	  70	  50	 567	9083	9647	   0	   0	
   5	   5	  70	   3	1129	   2	   2	   2	   1	   2	  30	  70	  50	 394	11333	12462	   0	   0	
   6	   6	  30	   4	 630	   1	   2	   3	   1	   2	  30	  70	  50	 459	14216	14846	   0	   0	
   7	   7	  50	   4	 619	   3	   2	   3	   1	   3	  30	  70	  50	 353	16499	17118	   0	   0	
   8	   8	  70	   3	 720	   2	   2	   3	   2	   3	  30	  70	  50	 360	18782	19502	   0	   0	
   9	   9	  50	   4	 598	   3	   2	   3	   2	   4	  30	  70	  50	 610	21416	22014	   0	   0	
  10	  10	  30	   3	 560	   1	   2	   4	   2	   4	  30	  70	  50	 667	23982	24542	   0	   0	
  11	  11	  50	   3	 543	   3	   2	   4	   2	   5	  30	  70	  50	 534	26399	26942	   0	   0	
  12	  12	  70	   1	 447	   2	   1	   4	   3	   5	  30	  70	  50	 559	28799	29246	   0	  10	
  13	  13	  50	   4	 556	   3	   2	   4	   3	   6	  30	  70	  50	 336	30882	31438	   0	  10	
  14	  14	  70	   4	 593	   2	   2	   4	   4	   6	  30	  70	  50	 399	33149	33742	   0	  10	
  15	  15	  50	   1	 759	   3	   1	   4	   4	   7	  30	  70	  50	 368	35415	36174	   0	  20	
  16	  16	  30	   3	 481	   1	   2	   5	   4	   7	  30	  70	  50	 490	37965	38446	   0	  20	
  17	  17	  70	   2	 695	   2	   1	   5	   5	   7	  30	  70	  50	 474	40215	40910	   0	  10	
  18	  18	  50	   3	 951	   3	   2	   5	   5	   8	  30	  70	  50	 400	42615	43566	   0	  10	
  19	  19	  70	   1	 518	   2	   1	   5	   6	   8	  30	  70	  50	 550	45432	45950	   0	  20	
  20	  20	  30	   4	 647	   1	   2	   6	   6	   8	  30	  70	  50	 564	47815	48462	   0	  20	
