Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	1147	   1	   2	   1	   0	   0	  30	  70	  50	 425	-455	 692	   0	   0	
   2	   2	  50	   4	 541	   3	   2	   1	   0	   1	  30	  70	  50	 456	2439	2980	   0	   0	
   3	   3	  30	   4	 373	   1	   2	   2	   0	   1	  30	  70	  50	 380	4639	5012	   0	   0	
   4	   4	  50	   3	 343	   3	   2	   2	   0	   2	  30	  70	  50	 351	6653	6996	   0	   0	
   5	   5	  70	   3	 639	   2	   2	   2	   1	   2	  30	  70	  50	 334	8613	9252	   0	   0	
   6	   6	  30	   4	 506	   1	   2	   3	   1	   2	  30	  70	  50	 362	10906	11412	   0	   0	
   7	   7	  50	   2	 370	   3	   1	   3	   1	   3	  30	  70	  50	 524	13226	13596	   0	 -10	
   8	   8	  70	   3	 424	   2	   2	   3	   2	   3	  30	  70	  50	 416	15292	15716	   0	 -10	
   9	   9	  50	   2	 640	   3	   1	   3	   2	   4	  30	  70	  50	 613	17612	18252	   0	 -20	
  10	  10	  30	   3	 344	   1	   2	   4	   2	   4	  30	  70	  50	 670	20212	20556	   0	 -20	
  11	  11	  50	   3	 384	   3	   2	   4	   2	   5	  30	  70	  50	 399	22252	22636	   0	 -20	
  12	  12	  70	   1	 333	   2	   1	   4	   3	   5	  30	  70	  50	 492	24399	24732	   0	 -10	
  13	  13	  50	   2	 677	   3	   1	   4	   3	   6	  30	  70	  50	 498	26519	27196	   0	 -20	
  14	  14	  70	   4	 530	   2	   2	   4	   4	   6	  30	  70	  50	 433	28906	29436	   0	 -20	
  15	  15	  50	   1	 826	   3	   1	   4	   4	   7	  30	  70	  50	 306	31026	31852	   0	 -10	
  16	  16	  30	   3	 512	   1	   2	   5	   4	   7	  30	  70	  50	 546	33692	34204	   0	 -10	
  17	  17	  70	   2	 965	   2	   1	   5	   5	   7	  30	  70	  50	 358	35839	36804	   0	 -20	
  18	  18	  50	   1	1080	   3	   1	   5	   5	   8	  30	  70	  50	 606	38692	39772	   0	 -10	
  19	  19	  70	   1	 555	   2	   1	   5	   6	   8	  30	  70	  50	 528	41585	42140	   0	   0	
  20	  20	  30	   4	 555	   1	   2	   6	   6	   8	  30	  70	  50	 402	43825	44380	   0	   0	
  21	  21	  50	   2	 464	   3	   1	   6	   6	   9	  30	  70	  50	 499	46172	46636	   0	 -10	
  22	  22	  30	   4	 499	   1	   2	   7	   6	   9	  30	  70	  50	 631	48545	49044	   0	 -10	
  23	  23	  50	   3	 816	   3	   2	   7	   6	  10	  30	  70	  50	 683	51012	51828	   0	 -10	
  24	  24	  30	   4	 872	   1	   2	   8	   6	  10	  30	  70	  50	 345	53452	54324	   0	 -10	
  25	  25	  70	   1	 560	   2	   1	   8	   7	  10	  30	  70	  50	 650	56252	56812	   0	   0	
  26	  26	  50	   3	 904	   3	   2	   8	   7	  11	  30	  70	  50	 472	58572	59476	   0	   0	
  27	  27	  30	   4	 395	   1	   2	   9	   7	  11	  30	  70	  50	 354	61105	61500	   0	   0	
  28	  28	  50	   4	 542	   3	   2	   9	   7	  12	  30	  70	  50	 544	63318	63860	   0	   0	
  29	  29	  70	   1	 400	   2	   1	   9	   8	  12	  30	  70	  50	 508	65652	66052	   0	  10	
  30	  30	  50	   3	 427	   3	   2	   9	   8	  13	  30	  70	  50	 489	67825	68252	   0	  10	
  31	  31	  70	   1	 536	   2	   1	   9	   9	  13	  30	  70	  50	 661	70212	70748	   0	  20	
  32	  32	  50	   3	 491	   3	   2	   9	   9	  14	  30	  70	  50	 432	72465	72956	   0	  20	
  33	  33	  30	   3	 467	   1	   2	  10	   9	  14	  30	  70	  50	 475	74705	75172	   0	  20	
  34	  34	  70	   2	 382	   2	   1	  10	  10	  14	  30	  70	  50	 624	77078	77460	   0	  10	
