Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	1565	   1	   2	   1	   0	   0	  30	  70	  50	 651	1831	3396	   0	   0	
   2	   2	  50	   4	 834	   3	   2	   1	   0	   1	  30	  70	  50	 366	5074	5908	   0	   0	
   3	   3	  30	   4	 717	   1	   2	   2	   0	   1	  30	  70	  50	 522	7734	8451	   0	   0	
   4	   4	  50	   3	 994	   3	   2	   2	   0	   2	  30	  70	  50	 363	10129	11123	   0	   0	
   5	   5	  70	   3	 807	   2	   2	   2	   1	   2	  30	  70	  50	 518	12956	13763	   0	   0	
   6	   6	  30	   4	 949	   1	   2	   3	   1	   2	  30	  70	  50	 468	15534	16483	   0	   0	
   7	   7	  50	   2	 696	   3	   1	   3	   1	   3	  30	  70	  50	 637	18427	19123	   0	 -10	
   8	   8	  70	   1	 675	   2	   1	   3	   2	   3	  30	  70	  50	 652	21088	21763	   0	   0	
   9	   9	  50	   2	 882	   3	   1	   3	   2	   4	  30	  70	  50	 610	23665	24547	   0	 -10	
  10	  10	  30	   3	 822	   1	   2	   4	   2	   4	  30	  70	  50	 646	26509	27331	   0	 -10	
  11	  11	  50	   3	1048	   3	   2	   4	   2	   5	  30	  70	  50	 320	28970	30018	   0	 -10	
  12	  12	  70	   1	 639	   2	   1	   4	   3	   5	  30	  70	  50	 407	31731	32370	   0	   0	
  13	  13	  50	   2	 583	   3	   1	   4	   3	   6	  30	  70	  50	 383	34059	34642	   0	 -10	
  14	  14	  70	   2	 536	   2	   1	   4	   4	   6	  30	  70	  50	 632	36586	37122	   0	 -20	
  15	  15	  50	   1	 457	   3	   1	   4	   4	   7	  30	  70	  50	 674	39097	39554	   0	 -10	
  16	  16	  30	   3	 403	   1	   2	   5	   4	   7	  30	  70	  50	 503	41359	41762	   0	 -10	
  17	  17	  70	   2	 680	   2	   1	   5	   5	   7	  30	  70	  50	 685	43754	44434	   0	 -20	
  18	  18	  50	   1	 743	   3	   1	   5	   5	   8	  30	  70	  50	 565	46314	47057	   0	 -10	
  19	  19	  70	   1	 477	   2	   1	   5	   6	   8	  30	  70	  50	 335	48692	49169	   0	   0	
  20	  20	  30	   4	 592	   1	   2	   6	   6	   8	  30	  70	  50	 677	51137	51729	   0	   0	
  21	  21	  50	   4	 956	   3	   2	   6	   6	   9	  30	  70	  50	 307	53349	54305	   0	   0	
  22	  22	  30	   4	 650	   1	   2	   7	   6	   9	  30	  70	  50	 361	55959	56609	   0	   0	
  23	  23	  50	   3	 553	   3	   2	   7	   6	  10	  30	  70	  50	 582	58504	59057	   0	   0	
  24	  24	  30	   4	 695	   1	   2	   8	   6	  10	  30	  70	  50	 326	60682	61377	   0	   0	
  25	  25	  70	   1	 860	   2	   1	   8	   7	  10	  30	  70	  50	 391	63077	63937	   0	  10	
  26	  26	  50	   1	 653	   3	   1	   8	   7	  11	  30	  70	  50	 327	65571	66224	   0	  20	
  27	  27	  30	   2	 336	   1	   1	   9	   7	  11	  30	  70	  50	 510	68032	68368	   0	  10	
  28	  28	  50	   2	 680	   3	   1	   9	   7	  12	  30	  70	  50	 677	70344	71024	   0	   0	
  29	  29	  70	   1	 479	   2	   1	   9	   8	  12	  30	  70	  50	 369	72705	73184	   0	  10	
  30	  30	  50	   1	 956	   3	   1	   9	   8	  13	  30	  70	  50	 404	74900	75856	   0	  20	
  31	  31	  70	   1	 559	   2	   1	   9	   9	  13	  30	  70	  50	 607	77777	78336	   0	  30	
  32	  32	  50	   3	 445	   3	   2	   9	   9	  14	  30	  70	  50	 305	79939	80384	   0	  30	
  33	  33	  30	   3	 600	   1	   2	  10	   9	  14	  30	  70	  50	 479	82184	82784	   0	  30	
  34	  34	  70	   2	 463	   2	   1	  10	  10	  14	  30	  70	  50	 436	84529	84992	   0	  20	
  35	  35	  30	   4	 661	   1	   2	  11	  10	  14	  30	  70	  50	 583	86890	87551	   0	  20	
  36	  36	  70	   1	 552	   2	   1	  11	  11	  14	  30	  70	  50	 464	89335	89887	   0	  30	
  37	  37	  50	   2	 377	   3	   1	  11	  11	  15	  30	  70	  50	 653	91846	92223	   0	  20	
  38	  38	  30	   3	 596	   1	   2	  12	  11	  15	  30	  70	  50	 588	94107	94703	   0	  20	
  39	  39	  70	   2	 488	   2	   1	  12	  12	  15	  30	  70	  50	 517	96535	97023	   0	  10	
  40	  40	  30	   4	 719	   1	   2	  13	  12	  15	  30	  70	  50	 552	98880	99599	   0	  10	
  41	  41	  50	   1	 661	   3	   1	  13	  12	  16	  30	  70	  50	 346	101274	101935	   0	  20	
  42	  42	  70	   1	 606	   2	   1	  13	  13	  16	  30	  70	  50	 338	103569	104175	   0	  30	
  43	  43	  30	   4	 632	   1	   2	  14	  13	  16	  30	  70	  50	 313	105798	106430	   0	  30	
  44	  44	  70	   1	 653	   2	   1	  14	  14	  16	  30	  70	  50	 475	108209	108862	   0	  40	
  45	  45	  50	   2	 587	   3	   1	  14	  14	  17	  30	  70	  50	 628	110803	111390	   0	  30	
  46	  46	  30	   4	 483	   1	   2	  15	  14	  17	  30	  70	  50	 442	113131	113614	   0	  30	
  47	  47	  70	   1	 752	   2	   1	  15	  15	  17	  30	  70	  50	 386	115310	116062	   0	  40	
  48	  48	  30	   3	 659	   1	   2	  16	  15	  17	  30	  70	  50	 398	117771	118430	   0	  40	
  49	  49	  70	   2	 631	   2	   1	  16	  16	  17	  30	  70	  50	 482	120215	120846	   0	  30	
  50	  50	  30	   4	 586	   1	   2	  17	  16	  17	  30	  70	  50	 515	122676	123262	   0	  30	
  51	  51	  70	   1	 457	   2	   1	  17	  17	  17	  30	  70	  50	 632	125221	125678	   0	  40	
  52	  52	  30	   4	 575	   1	   2	  18	  17	  17	  30	  70	  50	 589	127566	128141	   0	  40	
  53	  53	  70	   1	 426	   2	   1	  18	  18	  17	  30	  70	  50	 379	129827	130253	   0	  50	
  54	  54	  30	   3	 551	   1	   2	  19	  18	  17	  30	  70	  50	 454	132006	132557	   0	  50	
  55	  55	  70	   2	 497	   2	   1	  19	  19	  17	  30	  70	  50	 418	134284	134781	   0	  40	
  56	  56	  50	   2	 441	   3	   1	  19	  19	  18	  30	  70	  50	 512	136612	137053	   0	  30	
