Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	 723	   1	   2	   1	   0	   0	  30	  70	  50	 699	-133	 590	   0	   0	
   2	   2	  50	   2	1159	   3	   1	   1	   0	   1	  30	  70	  50	 600	2479	3638	   0	 -10	
   3	   3	  30	   4	 441	   1	   2	   2	   0	   1	  30	  70	  50	 582	5493	5934	   0	 -10	
   4	   4	  50	   3	 503	   3	   2	   2	   0	   2	  30	  70	  50	 541	7759	8262	   0	 -10	
   5	   5	  70	   1	 751	   2	   1	   2	   1	   2	  30	  70	  50	 300	9839	10590	   0	   0	
   6	   6	  30	   4	 423	   1	   2	   3	   1	   2	  30	  70	  50	 569	12439	12862	   0	   0	
   7	   7	  50	   2	 772	   3	   1	   3	   1	   3	  30	  70	  50	 527	14666	15438	   0	 -10	
   8	   8	  70	   1	 737	   2	   1	   3	   2	   3	  30	  70	  50	 375	17092	17829	   0	   0	
   9	   9	  50	   4	 539	   3	   2	   3	   2	   4	  30	  70	  50	 666	19786	20325	   0	   0	
  10	  10	  30	   3	 521	   1	   2	   4	   2	   4	  30	  70	  50	 641	22252	22773	   0	   0	
  11	  11	  50	   3	 425	   3	   2	   4	   2	   5	  30	  70	  50	 333	24412	24837	   0	   0	
  12	  12	  70	   1	 526	   2	   1	   4	   3	   5	  30	  70	  50	 372	26479	27005	   0	  10	
  13	  13	  50	   4	 484	   3	   2	   4	   3	   6	  30	  70	  50	 698	28985	29469	   0	  10	
  14	  14	  70	   2	 743	   2	   1	   4	   4	   6	  30	  70	  50	 608	31358	32101	   0	   0	
  15	  15	  50	   3	 484	   3	   2	   4	   4	   7	  30	  70	  50	 569	33945	34429	   0	   0	
  16	  16	  30	   3	 553	   1	   2	   5	   4	   7	  30	  70	  50	 338	36052	36605	   0	   0	
  17	  17	  70	   2	 444	   2	   1	   5	   5	   7	  30	  70	  50	 496	38385	38829	   0	 -10	
  18	  18	  50	   3	 375	   3	   2	   5	   5	   8	  30	  70	  50	 567	40678	41053	   0	 -10	
  19	  19	  70	   1	 697	   2	   1	   5	   6	   8	  30	  70	  50	 466	42812	43509	   0	   0	
  20	  20	  30	   4	 458	   1	   2	   6	   6	   8	  30	  70	  50	 342	45131	45589	   0	   0	
  21	  21	  50	   4	 508	   3	   2	   6	   6	   9	  30	  70	  50	 575	47465	47973	   0	   0	
  22	  22	  30	   4	 548	   1	   2	   7	   6	   9	  30	  70	  50	 685	49945	50493	   0	   0	
  23	  23	  50	   3	 588	   3	   2	   7	   6	  10	  30	  70	  50	 451	52225	52813	   0	   0	
  24	  24	  30	   4	1007	   1	   2	   8	   6	  10	  30	  70	  50	 581	54678	55685	   0	   0	
  25	  25	  70	   1	 511	   2	   1	   8	   7	  10	  30	  70	  50	 668	57638	58149	   0	  10	
  26	  26	  50	   3	 626	   3	   2	   8	   7	  11	  30	  70	  50	 655	60091	60717	   0	  10	
  27	  27	  30	   4	 930	   1	   2	   9	   7	  11	  30	  70	  50	 482	62491	63421	   0	  10	
  28	  28	  50	   4	 525	   3	   2	   9	   7	  12	  30	  70	  50	 360	65064	65589	   0	  10	
  29	  29	  70	   1	 589	   2	   1	   9	   8	  12	  30	  70	  50	 435	67304	67893	   0	  20	
  30	  30	  50	   3	 586	   3	   2	   9	   8	  13	  30	  70	  50	 674	69851	70437	   0	  20	
  31	  31	  70	   1	 632	   2	   1	   9	   9	  13	  30	  70	  50	 384	72117	72749	   0	  30	
  32	  32	  50	   3	 709	   3	   2	   9	   9	  14	  30	  70	  50	 556	74584	75293	   0	  30	
  33	  33	  30	   3	 512	   1	   2	  10	   9	  14	  30	  70	  50	 493	77077	77589	   0	  30	
  34	  34	  70	   2	 469	   2	   1	  10	  10	  14	  30	  70	  50	 318	79184	79653	   0	  20	
  35	  35	  30	   4	 469	   1	   2	  11	  10	  14	  30	  70	  50	 680	81624	82093	   0	  20	
  36	  36	  70	   1	 515	   2	   1	  11	  11	  14	  30	  70	  50	 676	84050	84565	   0	  30	
  37	  37	  50	   4	 373	   3	   2	  11	  11	  15	  30	  70	  50	 377	86224	86597	   0	  30	
  38	  38	  30	   3	 499	   1	   2	  12	  11	  15	  30	  70	  50	 403	88290	88789	   0	  30	
  39	  39	  70	   2	 606	   2	   1	  12	  12	  15	  30	  70	  50	 316	90383	90989	   0	  20	
  40	  40	  30	   4	 512	   1	   2	  13	  12	  15	  30	  70	  50	 643	92917	93429	   0	  20	
  41	  41	  50	   3	 611	   3	   2	  13	  12	  16	  30	  70	  50	 485	95210	95821	   0	  20	
  42	  42	  70	   1	 439	   2	   1	  13	  13	  16	  30	  70	  50	 345	97437	97876	   0	  30	
  43	  43	  30	   4	 378	   1	   2	  14	  13	  16	  30	  70	  50	 328	99490	99868	   0	  30	
  44	  44	  70	   1	 461	   2	   1	  14	  14	  16	  30	  70	  50	 396	101543	102004	   0	  40	
  45	  45	  50	   4	 360	   3	   2	  14	  14	  17	  30	  70	  50	 678	103956	104316	   0	  40	
  46	  46	  30	   4	 509	   1	   2	  15	  14	  17	  30	  70	  50	 424	106023	106532	   0	  40	
  47	  47	  70	   1	 554	   2	   1	  15	  15	  17	  30	  70	  50	 392	108210	108764	   0	  50	
  48	  48	  30	   3	 456	   1	   2	  16	  15	  17	  30	  70	  50	 587	110636	111092	   0	  50	
  49	  49	  70	   4	 432	   2	   2	  16	  16	  17	  30	  70	  50	 543	112916	113348	   0	  50	
  50	  50	  30	   4	 520	   1	   2	  17	  16	  17	  30	  70	  50	 370	114996	115516	   0	  50	
  51	  51	  70	   1	 525	   2	   1	  17	  17	  17	  30	  70	  50	 400	117223	117748	   0	  60	
  52	  52	  30	   4	 427	   1	   2	  18	  17	  17	  30	  70	  50	 543	119569	119996	   0	  60	
  53	  53	  70	   1	 560	   2	   1	  18	  18	  17	  30	  70	  50	 318	121596	122156	   0	  70	
  54	  54	  30	   3	 508	   1	   2	  19	  18	  17	  30	  70	  50	 612	124048	124556	   0	  70	
  55	  55	  70	   2	 491	   2	   1	  19	  19	  17	  30	  70	  50	 403	126249	126740	   0	  60	
  56	  56	  50	   4	 520	   3	   2	  19	  19	  18	  30	  70	  50	 664	128676	129196	   0	  60	
