Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1910	   1	   1	   1	   0	   0	  30	  70	  50	 357	-533	1377	   0	 -10	
   2	   2	  50	   2	1420	   3	   1	   1	   0	   1	  30	  70	  50	 597	3253	4673	   0	 -20	
NaN	   3	  30	NaN	NaN	   1	   3	   1	   0	   1	  30	  70	  50	 446	3253	NaN	   0	 -20	
   3	   4	  50	   3	 453	   3	   2	   1	   0	   2	  30	  70	  50	 569	10212	10665	   0	 -20	
   4	   5	  70	   1	1013	   2	   1	   1	   1	   2	  30	  70	  50	 339	12292	13305	   0	 -10	
   5	   6	  30	   4	 863	   1	   2	   2	   1	   2	  30	  70	  50	 437	15026	15889	   0	 -10	
   6	   7	  50	   4	1184	   3	   2	   2	   1	   3	  30	  70	  50	 493	17665	18849	   0	 -10	
   7	   8	  70	   1	 853	   2	   1	   2	   2	   3	  30	  70	  50	 521	20652	21505	   0	   0	
   8	   9	  50	   2	 871	   3	   1	   2	   2	   4	  30	  70	  50	 671	23465	24336	   0	 -10	
   9	  10	  30	   4	1519	   1	   2	   3	   2	   4	  30	  70	  50	 569	26185	27704	   0	 -10	
NaN	  11	  50	NaN	NaN	   3	   3	   3	   2	   4	  30	  70	  50	 534	26185	NaN	   0	 -10	
  10	  12	  70	   1	 562	   2	   1	   3	   3	   4	  30	  70	  50	 300	33078	33640	   0	   0	
  11	  13	  50	   1	 772	   3	   1	   3	   3	   5	  30	  70	  50	 388	35332	36104	   0	  10	
  12	  14	  70	   4	1255	   2	   2	   3	   4	   5	  30	  70	  50	 593	37985	39240	   0	  10	
  13	  15	  50	   2	1455	   3	   1	   3	   4	   6	  30	  70	  50	 497	41025	42480	   0	   0	
  14	  16	  30	   1	 735	   1	   1	   4	   4	   6	  30	  70	  50	 340	44105	44840	   0	  10	
  15	  17	  70	   2	1069	   2	   1	   4	   5	   6	  30	  70	  50	 492	46611	47680	   0	   0	
  16	  18	  50	   1	1464	   3	   1	   4	   5	   7	  30	  70	  50	 699	49664	51128	   0	  10	
  17	  19	  70	   3	1386	   2	   2	   4	   6	   7	  30	  70	  50	 596	52998	54384	   0	  10	
  18	  20	  30	   1	 901	   1	   1	   5	   6	   7	  30	  70	  50	 500	56171	57072	   0	  20	
  19	  21	  50	   3	 787	   3	   2	   5	   6	   8	  30	  70	  50	 610	58957	59744	   0	  20	
  20	  22	  30	   4	 635	   1	   2	   6	   6	   8	  30	  70	  50	 329	61357	61992	   0	  20	
  21	  23	  50	   4	 752	   3	   2	   6	   6	   9	  30	  70	  50	 413	63704	64456	   0	  20	
  22	  24	  30	   2	 531	   1	   1	   7	   6	   9	  30	  70	  50	 665	66397	66928	   0	  10	
