Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1938	   1	   1	   1	   0	   0	  30	  70	  50	 411	1583	3521	   0	 -10	
   2	   2	  50	   2	 937	   3	   1	   1	   0	   1	  30	  70	  50	 563	5384	6321	   0	 -20	
   3	   3	  30	   2	 288	   1	   1	   2	   0	   1	  30	  70	  50	 355	7985	8273	   0	 -30	
   4	   4	  50	   3	 443	   3	   2	   2	   0	   2	  30	  70	  50	 517	10102	10545	   0	 -30	
   5	   5	  70	   3	 288	   2	   2	   2	   1	   2	  30	  70	  50	 500	12353	12641	   0	 -30	
   6	   6	  30	   2	 290	   1	   1	   3	   1	   2	  30	  70	  50	 338	14287	14577	   0	 -40	
   7	   7	  50	   2	 260	   3	   1	   3	   1	   3	  30	  70	  50	 347	16221	16481	   0	 -50	
   8	   8	  70	   3	 321	   2	   2	   3	   2	   3	  30	  70	  50	 510	18288	18609	   0	 -50	
   9	   9	  50	   2	 217	   3	   1	   3	   2	   4	  30	  70	  50	 569	20488	20705	   0	 -60	
  10	  10	  30	   1	 230	   1	   1	   4	   2	   4	  30	  70	  50	 521	22539	22769	   0	 -50	
  11	  11	  50	   1	 377	   3	   1	   4	   2	   5	  30	  70	  50	 367	24456	24833	   0	 -40	
  12	  12	  70	   3	 267	   2	   2	   4	   3	   5	  30	  70	  50	 648	26790	27057	   0	 -40	
  13	  13	  50	   4	 346	   3	   2	   4	   3	   6	  30	  70	  50	 440	28807	29153	   0	 -40	
  14	  14	  70	   4	 411	   2	   2	   4	   4	   6	  30	  70	  50	 696	31141	31552	   0	 -40	
  15	  15	  50	   3	 253	   3	   2	   4	   4	   7	  30	  70	  50	 616	33475	33728	   0	 -40	
  16	  16	  30	   3	1185	   1	   2	   5	   4	   7	  30	  70	  50	 303	35343	36528	   0	 -40	
  17	  17	  70	   4	 263	   2	   2	   5	   5	   7	  30	  70	  50	 547	38377	38640	   0	 -40	
  18	  18	  50	   3	 229	   3	   2	   5	   5	   8	  30	  70	  50	 489	40427	40656	   0	 -40	
  19	  19	  70	   1	  65	   2	   1	   5	   6	   8	  30	  70	  50	 533	42495	42560	   0	 -30	
  20	  20	  30	   2	 228	   1	   1	   6	   6	   8	  30	  70	  50	 540	44412	44640	   0	 -40	
  21	  21	  50	   4	 188	   3	   2	   6	   6	   9	  30	  70	  50	 638	46596	46784	   0	 -40	
  22	  22	  30	   4	 428	   1	   2	   7	   6	   9	  30	  70	  50	 488	48580	49008	   0	 -40	
