Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1589	   1	   1	   1	   0	   0	  30	  70	  50	 400	1599	3188	   0	 -10	
   2	   2	  50	   4	 754	   3	   2	   1	   0	   1	  30	  70	  50	 353	4849	5603	   0	 -10	
   3	   3	  30	   2	 835	   1	   1	   2	   0	   1	  30	  70	  50	 306	7216	8051	   0	 -20	
   4	   4	  50	   3	 380	   3	   2	   2	   0	   2	  30	  70	  50	 446	9799	10179	   0	 -20	
   5	   5	  70	   1	 994	   2	   1	   2	   1	   2	  30	  70	  50	 561	12033	13027	   0	 -10	
   6	   6	  30	   2	1175	   1	   1	   3	   1	   2	  30	  70	  50	 405	14732	15907	   0	 -20	
   7	   7	  50	   2	 881	   3	   1	   3	   1	   3	  30	  70	  50	 466	17682	18563	   0	 -30	
   8	   8	  70	   1	 817	   2	   1	   3	   2	   3	  30	  70	  50	 616	20482	21299	   0	 -20	
   9	   9	  50	   4	 887	   3	   2	   3	   2	   4	  30	  70	  50	 526	23132	24019	   0	 -20	
  10	  10	  30	   3	 813	   1	   2	   4	   2	   4	  30	  70	  50	 445	25766	26579	   0	 -20	
  11	  11	  50	   3	 830	   3	   2	   4	   2	   5	  30	  70	  50	 664	28549	29379	   0	 -20	
  12	  12	  70	   1	 658	   2	   1	   4	   3	   5	  30	  70	  50	 570	31249	31907	   0	 -10	
  13	  13	  50	   4	1102	   3	   2	   4	   3	   6	  30	  70	  50	 542	33749	34851	   0	 -10	
  14	  14	  70	   2	 748	   2	   1	   4	   4	   6	  30	  70	  50	 463	36615	37363	   0	 -20	
  15	  15	  50	   3	 695	   3	   2	   4	   4	   7	  30	  70	  50	 482	39132	39827	   0	 -20	
  16	  16	  30	   1	 709	   1	   1	   5	   4	   7	  30	  70	  50	 469	41598	42307	   0	 -10	
  17	  17	  70	   4	1032	   2	   2	   5	   5	   7	  30	  70	  50	 691	44298	45330	   0	 -10	
  18	  18	  50	   1	 612	   3	   1	   5	   5	   8	  30	  70	  50	 567	47198	47810	   0	   0	
  19	  19	  70	   3	 591	   2	   2	   5	   6	   8	  30	  70	  50	 612	49715	50306	   0	   0	
  20	  20	  30	   2	 739	   1	   1	   6	   6	   8	  30	  70	  50	 413	52015	52754	   0	 -10	
  21	  21	  50	   4	 605	   3	   2	   6	   6	   9	  30	  70	  50	 500	54565	55170	   0	 -10	
  22	  22	  30	   2	1024	   1	   1	   7	   6	   9	  30	  70	  50	 418	56898	57922	   0	 -20	
  23	  23	  50	   3	 623	   3	   2	   7	   6	  10	  30	  70	  50	 492	59715	60338	   0	 -20	
