Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 478	   0	NaN	   0	   0	
   1	   2	  50	   4	 817	   3	   2	   0	   0	   1	  30	  70	  50	 465	5453	6270	   0	   0	
   2	   3	  30	   4	 809	   1	   2	   1	   0	   1	  30	  70	  50	 577	8133	8942	   0	   0	
   3	   4	  50	   3	1060	   3	   2	   1	   0	   2	  30	  70	  50	 604	10826	11886	   0	   0	
   4	   5	  70	   3	 756	   2	   2	   1	   1	   2	  30	  70	  50	 380	13546	14302	   0	   0	
   5	   6	  30	   4	 703	   1	   2	   2	   1	   2	  30	  70	  50	 344	15919	16622	   0	   0	
   6	   7	  50	   4	 594	   3	   2	   2	   1	   3	  30	  70	  50	 351	18252	18846	   0	   0	
   7	   8	  70	   3	 642	   2	   2	   2	   2	   3	  30	  70	  50	 530	20652	21294	   0	   0	
   8	   9	  50	   4	 796	   3	   2	   2	   2	   4	  30	  70	  50	 524	23106	23902	   0	   0	
   9	  10	  30	   4	 671	   1	   2	   3	   2	   4	  30	  70	  50	 339	25519	26190	   0	   0	
  10	  11	  50	   3	 647	   3	   2	   3	   2	   5	  30	  70	  50	 405	27879	28526	   0	   0	
  11	  12	  70	   1	 858	   2	   1	   3	   3	   5	  30	  70	  50	 476	30292	31150	   0	  10	
  12	  13	  50	   4	 796	   3	   2	   3	   3	   6	  30	  70	  50	 357	32785	33581	   0	  10	
NaN	  14	  70	NaN	NaN	   2	   3	   3	   3	   6	  30	  70	  50	 588	32785	NaN	   0	  10	
NaN	  15	  50	NaN	NaN	   3	   3	   3	   3	   6	  30	  70	  50	 389	32785	NaN	   0	  10	
NaN	  16	  30	NaN	NaN	   1	   3	   3	   3	   6	  30	  70	  50	 343	32785	NaN	   0	  10	
  13	  17	  70	   2	1017	   2	   1	   3	   4	   6	  30	  70	  50	 525	46452	47469	   0	   0	
  14	  18	  50	   3	 671	   3	   2	   3	   4	   7	  30	  70	  50	 525	49278	49949	   0	   0	
  15	  19	  70	   4	 911	   2	   2	   3	   5	   7	  30	  70	  50	 440	51678	52589	   0	   0	
  16	  20	  30	   3	 612	   1	   2	   4	   5	   7	  30	  70	  50	 472	54345	54957	   0	   0	
  17	  21	  50	   3	 711	   3	   2	   4	   5	   8	  30	  70	  50	 437	56678	57389	   0	   0	
  18	  22	  30	   3	 954	   1	   2	   5	   5	   8	  30	  70	  50	 497	59171	60125	   0	   0	
  19	  23	  50	   4	 559	   3	   2	   5	   5	   9	  30	  70	  50	 514	61918	62477	   0	   0	
  20	  24	  30	   4	 551	   1	   2	   6	   5	   9	  30	  70	  50	 435	64198	64749	   0	   0	
  21	  25	  70	   1	 410	   2	   1	   6	   6	   9	  30	  70	  50	 332	66371	66781	   0	  10	
  22	  26	  50	   3	 652	   3	   2	   6	   6	  10	  30	  70	  50	 405	68464	69116	   0	  10	
  23	  27	  30	   4	 769	   1	   2	   7	   6	  10	  30	  70	  50	 639	71051	71820	   0	  10	
  24	  28	  50	   3	 559	   3	   2	   7	   6	  11	  30	  70	  50	 421	73517	74076	   0	  10	
  25	  29	  70	   1	 575	   2	   1	   7	   7	  11	  30	  70	  50	 549	75917	76492	   0	  20	
  26	  30	  50	   4	 631	   3	   2	   7	   7	  12	  30	  70	  50	 663	78437	79068	   0	  20	
  27	  31	  70	   1	 633	   2	   1	   7	   8	  12	  30	  70	  50	 420	80771	81404	   0	  30	
  28	  32	  50	   3	 607	   3	   2	   7	   8	  13	  30	  70	  50	 510	83197	83804	   0	  30	
  29	  33	  30	   4	 714	   1	   2	   8	   8	  13	  30	  70	  50	 406	85490	86204	   0	  30	
  30	  34	  70	   1	 570	   2	   1	   8	   9	  13	  30	  70	  50	 480	87970	88540	   0	  40	
  31	  35	  30	   4	 730	   1	   2	   9	   9	  13	  30	  70	  50	 699	90530	91260	   0	  40	
  32	  36	  70	   2	 652	   2	   1	   9	  10	  13	  30	  70	  50	 572	93104	93756	   0	  30	
  33	  37	  50	   3	 578	   3	   2	   9	  10	  14	  30	  70	  50	 639	95690	96268	   0	  30	
