Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1027	   1	   1	   1	   0	   0	  30	  70	  50	 390	1599	2626	   0	 -10	
   2	   2	  50	   4	1402	   3	   2	   1	   0	   1	  30	  70	  50	 698	4632	6034	   0	 -10	
   3	   3	  30	   4	1482	   1	   2	   2	   0	   1	  30	  70	  50	 524	7864	9346	   0	 -10	
NaN	   4	  50	NaN	NaN	   3	   3	   2	   0	   1	  30	  70	  50	 620	7864	NaN	   0	 -10	
   4	   5	  70	   3	1322	   2	   2	   2	   1	   1	  30	  70	  50	 557	15111	16433	   0	 -10	
   5	   6	  30	   4	1290	   1	   2	   3	   1	   1	  30	  70	  50	 588	18327	19617	   0	 -10	
NaN	   7	  50	NaN	NaN	   3	   3	   3	   1	   1	  30	  70	  50	 514	18327	NaN	   0	 -10	
   6	   8	  70	   3	 862	   2	   2	   3	   2	   1	  30	  70	  50	 377	25091	25953	   0	 -10	
   7	   9	  50	   3	1834	   3	   2	   3	   2	   2	  30	  70	  50	 353	27607	29441	   0	 -10	
   8	  10	  30	   1	 740	   1	   1	   4	   2	   2	  30	  70	  50	 654	31405	32145	   0	   0	
   9	  11	  50	   2	 664	   3	   1	   4	   2	   3	  30	  70	  50	 668	34121	34785	   0	 -10	
  10	  12	  70	   1	1934	   2	   1	   4	   3	   3	  30	  70	  50	 681	36787	38721	   0	   0	
  11	  13	  50	   4	1331	   3	   2	   4	   3	   4	  30	  70	  50	 631	40702	42033	   0	   0	
  12	  14	  70	   2	1174	   2	   1	   4	   4	   4	  30	  70	  50	 504	43851	45025	   0	 -10	
  13	  15	  50	   1	 634	   3	   1	   4	   4	   5	  30	  70	  50	 655	46983	47617	   0	   0	
  14	  16	  30	   1	 605	   1	   1	   5	   4	   5	  30	  70	  50	 395	49316	49921	   0	  10	
  15	  17	  70	   2	 577	   2	   1	   5	   5	   5	  30	  70	  50	 418	51648	52225	   0	   0	
NaN	  18	  50	NaN	NaN	   3	   3	   5	   5	   5	  30	  70	  50	 350	51648	NaN	   0	   0	
  16	  19	  70	   1	1591	   2	   1	   5	   6	   5	  30	  70	  50	 348	57513	59104	   0	  10	
  17	  20	  30	   2	1093	   1	   1	   6	   6	   5	  30	  70	  50	 387	60795	61888	   0	   0	
  18	  21	  50	   4	 709	   3	   2	   6	   6	   6	  30	  70	  50	 427	63611	64320	   0	   0	
  19	  22	  30	   2	 536	   1	   1	   7	   6	   6	  30	  70	  50	 347	65960	66496	   0	 -10	
  20	  23	  50	   3	 803	   3	   2	   7	   6	   7	  30	  70	  50	 310	68109	68912	   0	 -10	
  21	  24	  30	   2	 578	   1	   1	   8	   6	   7	  30	  70	  50	 308	70542	71120	   0	 -20	
