Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1621	   1	   1	   1	   0	   0	  30	  70	  50	 514	1716	3337	   0	 -10	
   2	   2	  50	   2	 700	   3	   1	   1	   0	   1	  30	  70	  50	 529	5165	5865	   0	 -20	
   3	   3	  30	   4	 651	   1	   2	   2	   0	   1	  30	  70	  50	 459	7630	8281	   0	 -20	
   4	   4	  50	   3	 651	   3	   2	   2	   0	   2	  30	  70	  50	 463	10046	10697	   0	 -20	
   5	   5	  70	   1	 728	   2	   1	   2	   1	   2	  30	  70	  50	 528	12529	13257	   0	 -10	
   6	   6	  30	   4	 600	   1	   2	   3	   1	   2	  30	  70	  50	 412	14961	15561	   0	 -10	
   7	   7	  50	   2	 594	   3	   1	   3	   1	   3	  30	  70	  50	 648	17527	18121	   0	 -20	
   8	   8	  70	   1	 447	   2	   1	   3	   2	   3	  30	  70	  50	 602	20026	20473	   0	 -10	
   9	   9	  50	   4	1081	   3	   2	   3	   2	   4	  30	  70	  50	 399	22192	23273	   0	 -10	
  10	  10	  30	   3	 370	   1	   2	   4	   2	   4	  30	  70	  50	 602	25191	25561	   0	 -10	
  11	  11	  50	   3	 815	   3	   2	   4	   2	   5	  30	  70	  50	 400	27290	28105	   0	 -10	
  12	  12	  70	   1	 762	   2	   1	   4	   3	   5	  30	  70	  50	 428	29839	30601	   0	   0	
  13	  13	  50	   2	 566	   3	   1	   4	   3	   6	  30	  70	  50	 462	32355	32921	   0	 -10	
  14	  14	  70	   2	 631	   2	   1	   4	   4	   6	  30	  70	  50	 505	34738	35369	   0	 -20	
  15	  15	  50	   1	 538	   3	   1	   4	   4	   7	  30	  70	  50	 418	37103	37641	   0	 -10	
  16	  16	  30	   3	 533	   1	   2	   5	   4	   7	  30	  70	  50	 678	39619	40152	   0	 -10	
  17	  17	  70	   2	 436	   2	   1	   5	   5	   7	  30	  70	  50	 586	42052	42488	   0	 -20	
  18	  18	  50	   1	 616	   3	   1	   5	   5	   8	  30	  70	  50	 581	44384	45000	   0	 -10	
  19	  19	  70	   1	 741	   2	   1	   5	   6	   8	  30	  70	  50	 579	46883	47624	   0	   0	
  20	  20	  30	   4	 604	   1	   2	   6	   6	   8	  30	  70	  50	 613	49532	50136	   0	   0	
  21	  21	  50	   2	 610	   3	   1	   6	   6	   9	  30	  70	  50	 341	51798	52408	   0	 -10	
  22	  22	  30	   2	1041	   1	   1	   7	   6	   9	  30	  70	  50	 524	54231	55272	   0	 -20	
  23	  23	  50	   1	 564	   3	   1	   7	   6	  10	  30	  70	  50	 413	56980	57544	   0	 -10	
  24	  24	  30	   4	 847	   1	   2	   8	   6	  10	  30	  70	  50	 667	59529	60376	   0	 -10	
  25	  25	  70	   1	 481	   2	   1	   8	   7	  10	  30	  70	  50	 612	62295	62776	   0	   0	
  26	  26	  50	   1	 628	   3	   1	   8	   7	  11	  30	  70	  50	 558	64644	65272	   0	  10	
  27	  27	  30	   4	 574	   1	   2	   9	   7	  11	  30	  70	  50	 653	67226	67800	   0	  10	
  28	  28	  50	   2	 645	   3	   1	   9	   7	  12	  30	  70	  50	 359	69459	70104	   0	   0	
  29	  29	  70	   1	 395	   2	   1	   9	   8	  12	  30	  70	  50	 346	71741	72136	   0	  10	
  30	  30	  50	   1	 473	   3	   1	   9	   8	  13	  30	  70	  50	 374	73807	74280	   0	  20	
  31	  31	  70	   1	 520	   2	   1	   9	   9	  13	  30	  70	  50	 648	76256	76776	   0	  30	
  32	  32	  50	   1	 492	   3	   1	   9	   9	  14	  30	  70	  50	 472	78556	79048	   0	  40	
  33	  33	  30	   3	 631	   1	   2	  10	   9	  14	  30	  70	  50	 355	80705	81336	   0	  40	
  34	  34	  70	   2	 583	   2	   1	  10	  10	  14	  30	  70	  50	 467	83121	83704	   0	  30	
  35	  35	  30	   2	 617	   1	   1	  11	  10	  14	  30	  70	  50	 472	85487	86104	   0	  20	
  36	  36	  70	   1	 527	   2	   1	  11	  11	  14	  30	  70	  50	 320	87736	88263	   0	  30	
  37	  37	  50	   2	 697	   3	   1	  11	  11	  15	  30	  70	  50	 347	89902	90599	   0	  20	
  38	  38	  30	   3	 522	   1	   2	  12	  11	  15	  30	  70	  50	 409	92317	92839	   0	  20	
  39	  39	  70	   2	 444	   2	   1	  12	  12	  15	  30	  70	  50	 527	94667	95111	   0	  10	
  40	  40	  30	   4	1097	   1	   2	  13	  12	  15	  30	  70	  50	 349	96766	97863	   0	  10	
  41	  41	  50	   1	 524	   3	   1	  13	  12	  16	  30	  70	  50	 322	99515	100039	   0	  20	
  42	  42	  70	   1	 486	   2	   1	  13	  13	  16	  30	  70	  50	 354	101697	102183	   0	  30	
  43	  43	  30	   4	 374	   1	   2	  14	  13	  16	  30	  70	  50	 630	104113	104487	   0	  30	
  44	  44	  70	   1	 395	   2	   1	  14	  14	  16	  30	  70	  50	 625	106412	106807	   0	  40	
  45	  45	  50	   2	 470	   3	   1	  14	  14	  17	  30	  70	  50	 438	108545	109015	   0	  30	
  46	  46	  30	   4	 656	   1	   2	  15	  14	  17	  30	  70	  50	 381	110711	111367	   0	  30	
  47	  47	  70	   1	 375	   2	   1	  15	  15	  17	  30	  70	  50	 693	113360	113735	   0	  40	
  48	  48	  30	   3	 602	   1	   2	  16	  15	  17	  30	  70	  50	 666	115709	116311	   0	  40	
  49	  49	  70	   2	 564	   2	   1	  16	  16	  17	  30	  70	  50	 657	118275	118839	   0	  30	
  50	  50	  30	   4	 558	   1	   2	  17	  16	  17	  30	  70	  50	 686	120841	121399	   0	  30	
  51	  51	  70	   1	 443	   2	   1	  17	  17	  17	  30	  70	  50	 628	123340	123783	   0	  40	
  52	  52	  30	   4	 501	   1	   2	  18	  17	  17	  30	  70	  50	 447	125522	126023	   0	  40	
  53	  53	  70	   1	 365	   2	   1	  18	  18	  17	  30	  70	  50	 413	127738	128103	   0	  50	
