Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 365	   0	NaN	   0	   0	
   1	   2	  50	   2	 435	   3	   1	   0	   0	   1	  30	  70	  50	 681	5517	5952	   0	 -10	
   2	   3	  30	   2	 452	   1	   1	   1	   0	   1	  30	  70	  50	 605	7868	8320	   0	 -20	
   3	   4	  50	   1	 567	   3	   1	   1	   0	   2	  30	  70	  50	 537	10169	10736	   0	 -10	
   4	   5	  70	   1	 921	   2	   1	   1	   1	   2	  30	  70	  50	 479	12519	13440	   0	   0	
   5	   6	  30	   4	 867	   1	   2	   2	   1	   2	  30	  70	  50	 683	15437	16304	   0	   0	
   6	   7	  50	   2	 842	   3	   1	   2	   1	   3	  30	  70	  50	 423	18038	18880	   0	 -10	
   7	   8	  70	   1	 664	   2	   1	   2	   2	   3	  30	  70	  50	 695	20872	21536	   0	   0	
   8	   9	  50	   2	1032	   3	   1	   2	   2	   4	  30	  70	  50	 410	23256	24288	   0	 -10	
   9	  10	  30	   4	1030	   1	   2	   3	   2	   4	  30	  70	  50	 492	26090	27120	   0	 -10	
  10	  11	  50	   1	 869	   3	   1	   3	   2	   5	  30	  70	  50	 495	28907	29776	   0	   0	
  11	  12	  70	   1	 450	   2	   1	   3	   3	   5	  30	  70	  50	 633	31742	32192	   0	  10	
  12	  13	  50	   2	 698	   3	   1	   3	   3	   6	  30	  70	  50	 429	33926	34624	   0	   0	
  13	  14	  70	   2	 541	   2	   1	   3	   4	   6	  30	  70	  50	 675	36610	37151	   0	 -10	
  14	  15	  50	   1	 765	   3	   1	   3	   4	   7	  30	  70	  50	 553	39010	39775	   0	   0	
  15	  16	  30	   3	 733	   1	   2	   4	   4	   7	  30	  70	  50	 687	41778	42511	   0	   0	
  16	  17	  70	   2	 702	   2	   1	   4	   5	   7	  30	  70	  50	 319	44145	44847	   0	 -10	
  17	  18	  50	   1	 518	   3	   1	   4	   5	   8	  30	  70	  50	 574	46729	47247	   0	   0	
  18	  19	  70	   1	 887	   2	   1	   4	   6	   8	  30	  70	  50	 519	49080	49967	   0	  10	
  19	  20	  30	   3	 893	   1	   2	   5	   6	   8	  30	  70	  50	 441	51714	52607	   0	  10	
  20	  21	  50	   2	 599	   3	   1	   5	   6	   9	  30	  70	  50	 331	54248	54847	   0	   0	
  21	  22	  30	   4	1050	   1	   2	   6	   6	   9	  30	  70	  50	 382	56565	57615	   0	   0	
  22	  23	  50	   1	 633	   3	   1	   6	   6	  10	  30	  70	  50	 434	59366	59999	   0	  10	
  23	  24	  30	   4	 855	   1	   2	   7	   6	  10	  30	  70	  50	 478	61784	62639	   0	  10	
  24	  25	  70	   1	 636	   2	   1	   7	   7	  10	  30	  70	  50	 505	64451	65087	   0	  20	
  25	  26	  50	   1	 926	   3	   1	   7	   7	  11	  30	  70	  50	 388	66785	67711	   0	  30	
  26	  27	  30	   4	 897	   1	   2	   8	   7	  11	  30	  70	  50	 488	69502	70399	   0	  30	
  27	  28	  50	   2	 626	   3	   1	   8	   7	  12	  30	  70	  50	 545	72237	72863	   0	  20	
  28	  29	  70	   1	 619	   2	   1	   8	   8	  12	  30	  70	  50	 642	74804	75423	   0	  30	
  29	  30	  50	   1	 572	   3	   1	   8	   8	  13	  30	  70	  50	 402	77138	77710	   0	  40	
  30	  31	  70	   1	 519	   2	   1	   8	   9	  13	  30	  70	  50	 637	79655	80174	   0	  50	
  31	  32	  50	   1	 684	   3	   1	   8	   9	  14	  30	  70	  50	 413	81906	82590	   0	  60	
  32	  33	  30	   4	 621	   1	   2	   9	   9	  14	  30	  70	  50	 377	84273	84894	   0	  60	
  33	  34	  70	   2	 541	   2	   1	   9	  10	  14	  30	  70	  50	 451	86657	87198	   0	  50	
