Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1341	   1	   1	   1	   0	   0	  30	  70	  50	 634	2000	3341	   0	 -10	
   2	   2	  50	   2	1135	   3	   1	   1	   0	   1	  30	  70	  50	 487	5134	6269	   0	 -20	
   3	   3	  30	   2	1037	   1	   1	   2	   0	   1	  30	  70	  50	 390	7968	9005	   0	 -30	
   4	   4	  50	   3	 581	   3	   2	   2	   0	   2	  30	  70	  50	 643	10952	11533	   0	 -30	
   5	   5	  70	   1	 870	   2	   1	   2	   1	   2	  30	  70	  50	 463	13303	14173	   0	 -20	
   6	   6	  30	   4	 720	   1	   2	   3	   1	   2	  30	  70	  50	 358	15837	16557	   0	 -20	
   7	   7	  50	   4	1267	   3	   2	   3	   1	   3	  30	  70	  50	 674	18538	19805	   0	 -20	
   8	   8	  70	   3	 946	   2	   2	   3	   2	   3	  30	  70	  50	 624	21739	22685	   0	 -20	
   9	   9	  50	   4	 814	   3	   2	   3	   2	   4	  30	  70	  50	 643	24623	25437	   0	 -20	
  10	  10	  30	   3	 643	   1	   2	   4	   2	   4	  30	  70	  50	 530	27274	27917	   0	 -20	
  11	  11	  50	   3	 761	   3	   2	   4	   2	   5	  30	  70	  50	 693	29924	30685	   0	 -20	
  12	  12	  70	   1	 799	   2	   1	   4	   3	   5	  30	  70	  50	 557	32542	33341	   0	 -10	
  13	  13	  50	   4	 802	   3	   2	   4	   3	   6	  30	  70	  50	 612	35259	36061	   0	 -10	
  14	  14	  70	   2	 767	   2	   1	   4	   4	   6	  30	  70	  50	 335	37710	38477	   0	 -20	
  15	  15	  50	   3	 994	   3	   2	   4	   4	   7	  30	  70	  50	 607	40394	41388	   0	 -20	
  16	  16	  30	   3	 945	   1	   2	   5	   4	   7	  30	  70	  50	 513	43195	44140	   0	 -20	
  17	  17	  70	   2	 629	   2	   1	   5	   5	   7	  30	  70	  50	 447	45879	46508	   0	 -30	
