Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	 834	   1	   1	   1	   0	   0	  30	  70	  50	 549	-253	 581	   0	 -10	
   2	   2	  50	   2	 686	   3	   1	   1	   0	   1	  30	  70	  50	 421	2279	2965	   0	 -20	
   3	   3	  30	   2	 779	   1	   1	   2	   0	   1	  30	  70	  50	 334	4586	5365	   0	 -30	
   4	   4	  50	   1	 374	   3	   1	   2	   0	   2	  30	  70	  50	 398	7039	7413	   0	 -20	
   5	   5	  70	   3	1025	   2	   2	   2	   1	   2	  30	  70	  50	 548	9252	10277	   0	 -20	
   6	   6	  30	   4	 585	   1	   2	   3	   1	   2	  30	  70	  50	 505	12052	12637	   0	 -20	
   7	   7	  50	   2	 412	   3	   1	   3	   1	   3	  30	  70	  50	 388	14305	14717	   0	 -30	
   8	   8	  70	   1	 724	   2	   1	   3	   2	   3	  30	  70	  50	 508	16505	17229	   0	 -20	
   9	   9	  50	   2	 612	   3	   1	   3	   2	   4	  30	  70	  50	 306	18825	19437	   0	 -30	
  10	  10	  30	   1	 552	   1	   1	   4	   2	   4	  30	  70	  50	 694	21412	21964	   0	 -20	
  11	  11	  50	   1	 638	   3	   1	   4	   2	   5	  30	  70	  50	 622	23878	24516	   0	 -10	
  12	  12	  70	   3	 995	   2	   2	   4	   3	   5	  30	  70	  50	 594	26385	27380	   0	 -10	
  13	  13	  50	   2	 542	   3	   1	   4	   3	   6	  30	  70	  50	 460	29118	29660	   0	 -20	
  14	  14	  70	   2	 881	   2	   1	   4	   4	   6	  30	  70	  50	 589	31531	32412	   0	 -30	
  15	  15	  50	   1	 523	   3	   1	   4	   4	   7	  30	  70	  50	 525	34225	34748	   0	 -20	
  16	  16	  30	   3	 718	   1	   2	   5	   4	   7	  30	  70	  50	 601	36638	37356	   0	 -20	
  17	  17	  70	   2	 428	   2	   1	   5	   5	   7	  30	  70	  50	 393	39024	39452	   0	 -30	
  18	  18	  50	   1	 420	   3	   1	   5	   5	   8	  30	  70	  50	 649	41384	41804	   0	 -20	
  19	  19	  70	   3	 497	   2	   2	   5	   6	   8	  30	  70	  50	 531	43611	44108	   0	 -20	
  20	  20	  30	   4	 585	   1	   2	   6	   6	   8	  30	  70	  50	 334	45731	46316	   0	 -20	
  21	  21	  50	   2	 436	   3	   1	   6	   6	   9	  30	  70	  50	 537	48144	48580	   0	 -30	
  22	  22	  30	   4	 516	   1	   2	   7	   6	   9	  30	  70	  50	 605	50464	50980	   0	 -30	
  23	  23	  50	   1	 607	   3	   1	   7	   6	  10	  30	  70	  50	 579	52837	53444	   0	 -20	
  24	  24	  30	   2	 644	   1	   1	   8	   6	  10	  30	  70	  50	 498	55224	55868	   0	 -30	
  25	  25	  70	   1	 300	   2	   1	   8	   7	  10	  30	  70	  50	 354	57504	57804	   0	 -20	
  26	  26	  50	   1	 761	   3	   1	   8	   7	  11	  30	  70	  50	 485	59570	60331	   0	 -10	
  27	  27	  30	   4	 681	   1	   2	   9	   7	  11	  30	  70	  50	 473	62090	62771	   0	 -10	
  28	  28	  50	   2	 617	   3	   1	   9	   7	  12	  30	  70	  50	 426	64490	65107	   0	 -20	
  29	  29	  70	   3	 681	   2	   2	   9	   8	  12	  30	  70	  50	 421	66810	67491	   0	 -20	
  30	  30	  50	   1	 601	   3	   1	   9	   8	  13	  30	  70	  50	 478	69250	69851	   0	 -10	
  31	  31	  70	   3	1180	   2	   2	   9	   9	  13	  30	  70	  50	 432	71583	72763	   0	 -10	
  32	  32	  50	   1	 591	   3	   1	   9	   9	  14	  30	  70	  50	 554	74596	75187	   0	   0	
  33	  33	  30	   1	1020	   1	   1	  10	   9	  14	  30	  70	  50	 427	76903	77923	   0	  10	
  34	  34	  70	   4	 836	   2	   2	  10	  10	  14	  30	  70	  50	 334	79543	80379	   0	  10	
  35	  35	  30	   4	 919	   1	   2	  11	  10	  14	  30	  70	  50	 457	82116	83035	   0	  10	
  36	  36	  70	   1	 674	   2	   1	  11	  11	  14	  30	  70	  50	 330	84649	85323	   0	  20	
  37	  37	  50	   2	 445	   3	   1	  11	  11	  15	  30	  70	  50	 497	87102	87547	   0	  10	
  38	  38	  30	   1	 589	   1	   1	  12	  11	  15	  30	  70	  50	 478	89302	89891	   0	  20	
  39	  39	  70	   2	 554	   2	   1	  12	  12	  15	  30	  70	  50	 311	91489	92043	   0	  10	
  40	  40	  30	   2	 506	   1	   1	  13	  12	  15	  30	  70	  50	 403	93729	94235	   0	   0	
  41	  41	  50	   1	 378	   3	   1	  13	  12	  16	  30	  70	  50	 349	95889	96267	   0	  10	
  42	  42	  70	   3	 584	   2	   2	  13	  13	  16	  30	  70	  50	 331	97875	98459	   0	  10	
  43	  43	  30	   4	 612	   1	   2	  14	  13	  16	  30	  70	  50	 330	100062	100674	   0	  10	
  44	  44	  70	   1	 684	   2	   1	  14	  14	  16	  30	  70	  50	 339	102302	102986	   0	  20	
  45	  45	  50	   2	 474	   3	   1	  14	  14	  17	  30	  70	  50	 337	104608	105082	   0	  10	
  46	  46	  30	   4	 498	   1	   2	  15	  14	  17	  30	  70	  50	 564	106928	107426	   0	  10	
  47	  47	  70	   3	 631	   2	   2	  15	  15	  17	  30	  70	  50	 644	109355	109986	   0	  10	
  48	  48	  30	   3	 778	   1	   2	  16	  15	  17	  30	  70	  50	 500	111768	112546	   0	  10	
  49	  49	  70	   2	 786	   2	   1	  16	  16	  17	  30	  70	  50	 337	114168	114954	   0	   0	
  50	  50	  30	   4	 605	   1	   2	  17	  16	  17	  30	  70	  50	 460	116701	117306	   0	   0	
  51	  51	  70	   1	 584	   2	   1	  17	  17	  17	  30	  70	  50	 590	119194	119778	   0	  10	
  52	  52	  30	   2	 624	   1	   1	  18	  17	  17	  30	  70	  50	 543	121594	122218	   0	   0	
  53	  53	  70	   1	 776	   2	   1	  18	  18	  17	  30	  70	  50	 578	124074	124850	   0	  10	
  54	  54	  30	   3	 491	   1	   2	  19	  18	  17	  30	  70	  50	 509	126647	127138	   0	  10	
  55	  55	  70	   2	 779	   2	   1	  19	  19	  17	  30	  70	  50	 586	129007	129786	   0	   0	
  56	  56	  50	   2	 816	   3	   1	  19	  19	  18	  30	  70	  50	 643	131714	132530	   0	 -10	
  57	  57	  30	   4	 603	   1	   2	  20	  19	  18	  30	  70	  50	 398	134207	134810	   0	 -10	
  58	  58	  70	   3	 502	   2	   2	  20	  20	  18	  30	  70	  50	 447	136540	137042	   0	 -10	
  59	  59	  50	   1	 488	   3	   1	  20	  20	  19	  30	  70	  50	 632	138954	139442	   0	   0	
  60	  60	  30	   2	 495	   1	   1	  21	  20	  19	  30	  70	  50	 387	141114	141609	   0	 -10	
  61	  61	  50	   2	 874	   3	   1	  21	  20	  20	  30	  70	  50	 453	143367	144241	   0	 -20	
  62	  62	  70	   1	 344	   2	   1	  21	  21	  20	  30	  70	  50	 630	146153	146497	   0	 -10	
  63	  63	  50	   2	 693	   3	   1	  21	  21	  21	  30	  70	  50	 690	148460	149153	   0	 -20	
  64	  64	  70	   2	 691	   2	   1	  21	  22	  21	  30	  70	  50	 481	150926	151617	   0	 -30	
  65	  65	  50	   1	 565	   3	   1	  21	  22	  22	  30	  70	  50	 410	153300	153865	   0	 -20	
  66	  66	  30	   1	 459	   1	   1	  22	  22	  22	  30	  70	  50	 424	155566	156025	   0	 -10	
  67	  67	  70	   3	 640	   2	   2	  22	  23	  22	  30	  70	  50	 411	157713	158353	   0	 -10	
  68	  68	  30	   4	 536	   1	   2	  23	  23	  22	  30	  70	  50	 435	160073	160609	   0	 -10	
  69	  69	  50	   2	 622	   3	   1	  23	  23	  23	  30	  70	  50	 488	162379	163001	   0	 -20	
  70	  70	  70	   1	 782	   2	   1	  23	  24	  23	  30	  70	  50	 618	164899	165681	   0	 -10	
  71	  71	  50	   2	 569	   3	   1	  23	  24	  24	  30	  70	  50	 656	167632	168201	   0	 -20	
  72	  72	  70	   3	 966	   2	   2	  23	  25	  24	  30	  70	  50	 534	170019	170985	   0	 -20	
  73	  73	  50	   1	 603	   3	   1	  23	  25	  25	  30	  70	  50	 653	172926	173529	   0	 -10	
  74	  74	  70	   2	 878	   2	   1	  23	  26	  25	  30	  70	  50	 560	175379	176257	   0	 -20	
  75	  75	  50	   2	 681	   3	   1	  23	  26	  26	  30	  70	  50	 614	178152	178833	   0	 -30	
  76	  76	  70	   1	 853	   2	   1	  23	  27	  26	  30	  70	  50	 616	180739	181592	   0	 -20	
  77	  77	  50	   1	 584	   3	   1	  23	  27	  27	  30	  70	  50	 588	183472	184056	   0	 -10	
  78	  78	  70	   3	 774	   2	   2	  23	  28	  27	  30	  70	  50	 567	185898	186672	   0	 -10	
  79	  79	  50	   1	 496	   3	   1	  23	  28	  28	  30	  70	  50	 594	188552	189048	   0	   0	
  80	  80	  30	   4	 603	   1	   2	  24	  28	  28	  30	  70	  50	 429	190765	191368	   0	   0	
  81	  81	  70	   2	 774	   2	   1	  24	  29	  28	  30	  70	  50	 478	193138	193912	   0	 -10	
  82	  82	  30	   2	 899	   1	   1	  25	  29	  28	  30	  70	  50	 452	195645	196544	   0	 -20	
  83	  83	  50	   2	 524	   3	   1	  25	  29	  29	  30	  70	  50	 615	198444	198968	   0	 -30	
  84	  84	  30	   3	1206	   1	   2	  26	  29	  29	  30	  70	  50	 401	200658	201864	   0	 -30	
  85	  85	  70	   1	 518	   2	   1	  26	  30	  29	  30	  70	  50	 346	203498	204016	   0	 -20	
  86	  86	  50	   1	 433	   3	   1	  26	  30	  30	  30	  70	  50	 413	205711	206144	   0	 -10	
  87	  87	  70	   3	 887	   2	   2	  26	  31	  30	  30	  70	  50	 629	208057	208944	   0	 -10	
  88	  88	  30	   2	 868	   3	   1	  26	  31	   1	  30	  70	  30	 616	210884	211752	   3	 -20	
  89	  89	  30	   2	 788	   1	   1	  27	  31	   1	  30	  70	  30	 489	213524	214312	   0	 -30	
  90	  90	  70	   4	 818	   2	   2	  27	  32	   1	  30	  70	  30	 636	216230	217048	   0	 -30	
  91	  91	  30	   1	 482	   3	   1	  27	  32	   2	  30	  70	  30	 603	218950	219432	   0	 -20	
  92	  92	  70	   1	 541	   2	   1	  27	  33	   2	  30	  70	  30	 407	221123	221664	   0	 -10	
  93	  93	  30	   2	 558	   1	   1	  28	  33	   2	  30	  70	  30	 593	223537	224095	   0	 -20	
  94	  94	  30	   2	 326	   3	   1	  28	  33	   3	  30	  70	  30	 528	225897	226223	   0	 -30	
  95	  95	  30	   1	 460	   1	   1	  29	  33	   3	  30	  70	  30	 661	228163	228623	   0	 -20	
  96	  96	  20	   4	 879	   2	   2	  29	   1	   3	  30	  20	  30	 682	230616	231495	   2	 -20	
  97	  97	  30	   4	 564	   1	   2	  30	   1	   3	  30	  20	  30	 468	233243	233807	   0	 -20	
  98	  98	  30	   2	 412	   3	   1	  30	   1	   4	  30	  20	  30	 388	235483	235895	   0	 -30	
  99	  99	  30	   2	 719	   1	   1	  31	   1	   4	  30	  20	  30	 640	237816	238535	   0	 -40	
 100	 100	  30	   2	 610	   3	   1	  31	   1	   5	  30	  20	  30	 524	240349	240959	   0	 -50	
 101	 101	  20	   2	 375	   2	   1	  31	   2	   5	  30	  20	  30	 408	242656	243031	   0	 -60	
 102	 102	  30	   3	 562	   1	   2	  32	   2	   5	  30	  20	  30	 630	244949	245511	   0	 -60	
 103	 103	  20	   1	 733	   2	   1	  32	   3	   5	  30	  20	  30	 328	247122	247855	   0	 -50	
 104	 104	  30	   3	 597	   3	   2	  32	   3	   6	  30	  20	  30	 462	249602	250199	   0	 -50	
 105	 105	  20	   2	 645	   2	   1	  32	   4	   6	  30	  20	  30	 405	251882	252527	   0	 -60	
 106	 106	  30	   4	 709	   3	   2	  32	   4	   7	  30	  20	  30	 354	254162	254871	   0	 -60	
 107	 107	  20	   2	 632	   2	   1	  32	   5	   7	  30	  20	  30	 656	256815	257447	   0	 -70	
 108	 108	  30	   4	 452	   3	   2	  32	   5	   8	  30	  20	  30	 674	259402	259854	   0	 -70	
 109	 109	  20	   3	 482	   2	   2	  32	   6	   8	  30	  20	  30	 319	261468	261950	   0	 -70	
 110	 110	  30	   4	 639	   1	   2	  33	   6	   8	  30	  20	  30	 656	263895	264534	   0	 -70	
