Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 575	   0	NaN	   0	   0	
   1	   2	  50	   4	1033	   3	   2	   0	   0	   1	  30	  70	  50	 592	5589	6622	   0	   0	
   2	   3	  30	   4	 507	   1	   2	   1	   0	   1	  30	  70	  50	 552	8483	8990	   0	   0	
   3	   4	  50	   3	 385	   3	   2	   1	   0	   2	  30	  70	  50	 579	10877	11262	   0	   0	
   4	   5	  70	   3	 619	   2	   2	   1	   1	   2	  30	  70	  50	 576	13139	13758	   0	   0	
   5	   6	  30	   4	 564	   1	   2	   2	   1	   2	  30	  70	  50	 355	15417	15981	   0	   0	
   6	   7	  50	   4	 445	   3	   2	   2	   1	   3	  30	  70	  50	 420	17712	18157	   0	   0	
   7	   8	  70	   3	 513	   2	   2	   2	   2	   3	  30	  70	  50	 662	20140	20653	   0	   0	
   8	   9	  50	   4	 712	   3	   2	   2	   2	   4	  30	  70	  50	 540	22501	23213	   0	   0	
   9	  10	  30	   4	 449	   1	   2	   3	   2	   4	  30	  70	  50	 690	25212	25661	   0	   0	
  10	  11	  50	   3	 425	   3	   2	   3	   2	   5	  30	  70	  50	 574	27540	27965	   0	   0	
  11	  12	  70	   3	 458	   2	   2	   3	   3	   5	  30	  70	  50	 333	29619	30077	   0	   0	
  12	  13	  50	   4	 292	   3	   2	   3	   3	   6	  30	  70	  50	 532	31913	32205	   0	   0	
  13	  14	  70	   4	 881	   2	   2	   3	   4	   6	  30	  70	  50	 592	34092	34973	   0	   0	
  14	  15	  50	   3	 406	   3	   2	   3	   4	   7	  30	  70	  50	 607	36886	37292	   0	   0	
  15	  16	  30	   3	 398	   1	   2	   4	   4	   7	  30	  70	  50	 642	39230	39628	   0	   0	
  16	  17	  70	   4	 471	   2	   2	   4	   5	   7	  30	  70	  50	 584	41525	41996	   0	   0	
  17	  18	  50	   3	 410	   3	   2	   4	   5	   8	  30	  70	  50	 691	43986	44396	   0	   0	
  18	  19	  70	   3	 432	   2	   2	   4	   6	   8	  30	  70	  50	 668	46364	46796	   0	   0	
  19	  20	  30	   3	 379	   1	   2	   5	   6	   8	  30	  70	  50	 480	48593	48972	   0	   0	
  20	  21	  50	   4	 461	   3	   2	   5	   6	   9	  30	  70	  50	 388	50671	51132	   0	   0	
  21	  22	  30	   4	 495	   1	   2	   6	   6	   9	  30	  70	  50	 692	53133	53628	   0	   0	
  22	  23	  50	   3	 409	   3	   2	   6	   6	  10	  30	  70	  50	 455	55394	55803	   0	   0	
  23	  24	  30	   4	 537	   1	   2	   7	   6	  10	  30	  70	  50	 410	57506	58043	   0	   0	
