Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	 722	   1	   1	   1	   0	   0	  30	  70	  50	 487	1665	2387	   0	 -10	
   2	   2	  50	   4	 748	   3	   2	   1	   0	   1	  30	  70	  50	 670	4359	5107	   0	 -10	
   3	   3	  30	   2	 714	   1	   1	   2	   0	   1	  30	  70	  50	 531	6953	7667	   0	 -20	
   4	   4	  50	   1	 800	   3	   1	   2	   0	   2	  30	  70	  50	 352	9331	10131	   0	 -10	
   5	   5	  70	   1	 892	   2	   1	   2	   1	   2	  30	  70	  50	 543	11975	12867	   0	   0	
   6	   6	  30	   4	1023	   1	   2	   3	   1	   2	  30	  70	  50	 681	14852	15875	   0	   0	
   7	   7	  50	   2	 676	   3	   1	   3	   1	   3	  30	  70	  50	 499	17679	18355	   0	 -10	
   8	   8	  70	   1	 399	   2	   1	   3	   2	   3	  30	  70	  50	 679	20340	20739	   0	   0	
   9	   9	  50	   2	1365	   3	   1	   3	   2	   4	  30	  70	  50	 686	22734	24099	   0	 -10	
  10	  10	  30	   3	 534	   1	   2	   4	   2	   4	  30	  70	  50	 654	26060	26594	   0	 -10	
  11	  11	  50	   3	1654	   3	   2	   4	   2	   5	  30	  70	  50	 692	28604	30258	   0	 -10	
  12	  12	  70	   1	 584	   2	   1	   4	   3	   5	  30	  70	  50	 376	31930	32514	   0	   0	
  13	  13	  50	   2	 684	   3	   1	   4	   3	   6	  30	  70	  50	 534	34358	35042	   0	 -10	
  14	  14	  70	   2	 628	   2	   1	   4	   4	   6	  30	  70	  50	 337	36686	37314	   0	 -20	
  15	  15	  50	   3	1093	   3	   2	   4	   4	   7	  30	  70	  50	 548	39181	40274	   0	 -20	
  16	  16	  30	   3	 694	   1	   2	   5	   4	   7	  30	  70	  50	 514	42108	42802	   0	 -20	
  17	  17	  70	   2	 663	   2	   1	   5	   5	   7	  30	  70	  50	 501	44619	45282	   0	 -30	
  18	  18	  50	   1	 608	   3	   1	   5	   5	   8	  30	  70	  50	 316	46914	47522	   0	 -20	
  19	  19	  70	   1	 597	   2	   1	   5	   6	   8	  30	  70	  50	 496	49325	49922	   0	 -10	
  20	  20	  30	   4	 640	   1	   2	   6	   6	   8	  30	  70	  50	 310	51537	52177	   0	 -10	
  21	  21	  50	   2	 996	   3	   1	   6	   6	   9	  30	  70	  50	 466	53965	54961	   0	 -20	
  22	  22	  30	   4	 822	   1	   2	   7	   6	   9	  30	  70	  50	 620	56891	57713	   0	 -20	
  23	  23	  50	   3	1159	   3	   2	   7	   6	  10	  30	  70	  50	 368	59386	60545	   0	 -20	
  24	  24	  30	   4	 611	   1	   2	   8	   6	  10	  30	  70	  50	 601	62462	63073	   0	 -20	
  25	  25	  70	   1	 531	   2	   1	   8	   7	  10	  30	  70	  50	 608	64990	65521	   0	 -10	
  26	  26	  50	   1	 815	   3	   1	   8	   7	  11	  30	  70	  50	 367	67202	68017	   0	   0	
  27	  27	  30	   4	 603	   1	   2	   9	   7	  11	  30	  70	  50	 528	69846	70449	   0	   0	
  28	  28	  50	   2	 563	   3	   1	   9	   7	  12	  30	  70	  50	 430	72190	72753	   0	 -10	
  29	  29	  70	   1	 543	   2	   1	   9	   8	  12	  30	  70	  50	 309	74369	74912	   0	   0	
  30	  30	  50	   1	 566	   3	   1	   9	   8	  13	  30	  70	  50	 502	76714	77280	   0	  10	
  31	  31	  70	   1	 631	   2	   1	   9	   9	  13	  30	  70	  50	 615	79225	79856	   0	  20	
  32	  32	  50	   1	 683	   3	   1	   9	   9	  14	  30	  70	  50	 508	81669	82352	   0	  30	
  33	  33	  30	   3	 533	   1	   2	  10	   9	  14	  30	  70	  50	 700	84363	84896	   0	  30	
  34	  34	  70	   2	 394	   2	   1	  10	  10	  14	  30	  70	  50	 551	86758	87152	   0	  20	
  35	  35	  30	   4	 523	   1	   2	  11	  10	  14	  30	  70	  50	 388	88837	89360	   0	  20	
  36	  36	  70	   1	 464	   2	   1	  11	  11	  14	  30	  70	  50	 581	91248	91712	   0	  30	
  37	  37	  50	   2	 744	   3	   1	  11	  11	  15	  30	  70	  50	 556	93576	94320	   0	  20	
  38	  38	  30	   3	 558	   1	   2	  12	  11	  15	  30	  70	  50	 313	95954	96512	   0	  20	
  39	  39	  70	   2	 444	   2	   1	  12	  12	  15	  30	  70	  50	 307	98116	98560	   0	  10	
  40	  40	  30	   4	 695	   1	   2	  13	  12	  15	  30	  70	  50	 471	100328	101023	   0	  10	
  41	  41	  50	   1	 488	   3	   1	  13	  12	  16	  30	  70	  50	 505	102855	103343	   0	  20	
  42	  42	  70	   1	 435	   2	   1	  13	  13	  16	  30	  70	  50	 459	105100	105535	   0	  30	
  43	  43	  30	   4	 604	   1	   2	  14	  13	  16	  30	  70	  50	 538	107379	107983	   0	  30	
  44	  44	  70	   1	 421	   2	   1	  14	  14	  16	  30	  70	  50	 399	109690	110111	   0	  40	
  45	  45	  50	   2	 572	   3	   1	  14	  14	  17	  30	  70	  50	 624	112035	112607	   0	  30	
  46	  46	  30	   4	 501	   1	   2	  15	  14	  17	  30	  70	  50	 428	114330	114831	   0	  30	
  47	  47	  70	   1	 445	   2	   1	  15	  15	  17	  30	  70	  50	 525	116658	117103	   0	  40	
  48	  48	  30	   3	 516	   1	   2	  16	  15	  17	  30	  70	  50	 588	119003	119519	   0	  40	
  49	  49	  70	   2	 542	   2	   1	  16	  16	  17	  30	  70	  50	 470	121297	121839	   0	  30	
  50	  50	  30	   4	 599	   1	   2	  17	  16	  17	  30	  70	  50	 412	123559	124158	   0	  30	
  51	  51	  70	   1	 534	   2	   1	  17	  17	  17	  30	  70	  50	 632	126120	126654	   0	  40	
  52	  52	  30	   4	 502	   1	   2	  18	  17	  17	  30	  70	  50	 687	128648	129150	   0	  40	
  53	  53	  70	   1	 421	   2	   1	  18	  18	  17	  30	  70	  50	 339	130793	131214	   0	  50	
  54	  54	  30	   3	 511	   1	   2	  19	  18	  17	  30	  70	  50	 556	133071	133582	   0	  50	
  55	  55	  70	   2	 495	   2	   1	  19	  19	  17	  30	  70	  50	 696	135599	136094	   0	  40	
  56	  56	  50	   4	 984	   3	   2	  19	  19	  18	  30	  70	  50	 511	137910	138894	   0	  40	
  57	  57	  30	   4	 624	   1	   2	  20	  19	  18	  30	  70	  50	 434	140638	141262	   0	  40	
  58	  58	  70	   1	 353	   2	   1	  20	  20	  18	  30	  70	  50	 609	143165	143518	   0	  50	
  59	  59	  50	   1	 374	   3	   1	  20	  20	  19	  30	  70	  50	 309	145128	145502	   0	  60	
  60	  60	  30	   4	 567	   1	   2	  21	  20	  19	  30	  70	  50	 408	147206	147773	   0	  60	
  61	  61	  50	   2	 410	   3	   1	  21	  20	  20	  30	  70	  50	 560	149651	150061	   0	  50	
  62	  62	  70	   1	 405	   2	   1	  21	  21	  20	  30	  70	  50	 541	151896	152301	   0	  60	
  63	  63	  50	   2	 613	   3	   1	  21	  21	  21	  30	  70	  50	 408	154008	154621	   0	  50	
  64	  64	  70	   2	 575	   2	   1	  21	  22	  21	  30	  70	  50	 361	156286	156861	   0	  40	
  65	  65	  50	   1	 678	   3	   1	  21	  22	  22	  30	  70	  50	 489	158647	159325	   0	  50	
  66	  66	  30	   3	 469	   1	   2	  22	  22	  22	  30	  70	  50	 553	161192	161661	   0	  50	
  67	  67	  70	   1	 459	   2	   1	  22	  23	  22	  30	  70	  50	 606	163570	164029	   0	  60	
  68	  68	  30	   2	 732	   1	   1	  23	  23	  22	  30	  70	  50	 341	165665	166397	   0	  50	
  69	  69	  50	   2	 702	   3	   1	  23	  23	  23	  30	  70	  50	 443	168143	168845	   0	  40	
  70	  70	  70	   3	 479	   2	   2	  23	  24	  23	  30	  70	  50	 471	170621	171100	   0	  40	
  71	  71	  50	   2	 530	   3	   1	  23	  24	  24	  30	  70	  50	 655	173082	173612	   0	  30	
  72	  72	  70	   1	 639	   2	   1	  23	  25	  24	  30	  70	  50	 378	175293	175932	   0	  40	
  73	  73	  50	   1	 615	   3	   1	  23	  25	  25	  30	  70	  50	 364	177605	178220	   0	  50	
  74	  74	  70	   2	 642	   2	   1	  23	  26	  25	  30	  70	  50	 324	179850	180492	   0	  40	
  75	  75	  50	   2	 455	   3	   1	  23	  26	  26	  30	  70	  50	 447	182245	182700	   0	  30	
  76	  76	  70	   1	 507	   2	   1	  23	  27	  26	  30	  70	  50	 691	184689	185196	   0	  40	
  77	  77	  50	   3	 714	   3	   2	  23	  27	  27	  30	  70	  50	 332	186834	187548	   0	  40	
  78	  78	  70	   3	 383	   2	   2	  23	  28	  27	  30	  70	  50	 366	189229	189612	   0	  40	
  79	  79	  50	   3	 627	   3	   2	  23	  28	  28	  30	  70	  50	 311	191225	191852	   0	  40	
  80	  80	  30	   4	 688	   1	   2	  24	  28	  28	  30	  70	  50	 681	193852	194540	   0	  40	
  81	  81	  70	   2	 517	   2	   1	  24	  29	  28	  30	  70	  50	 394	196247	196764	   0	  30	
  82	  82	  30	   2	 387	   1	   1	  25	  29	  28	  30	  70	  50	 314	198392	198779	   0	  20	
  83	  83	  50	   2	 456	   3	   1	  25	  29	  29	  30	  70	  50	 300	200387	200843	   0	  10	
  84	  84	  30	   3	 698	   1	   2	  26	  29	  29	  30	  70	  50	 696	202849	203547	   0	  10	
  85	  85	  70	   1	 393	   2	   1	  26	  30	  29	  30	  70	  50	 556	205410	205803	   0	  20	
  86	  86	  50	   1	 470	   3	   1	  26	  30	  30	  30	  70	  50	 516	207621	208091	   0	  30	
  87	  87	  70	   1	 525	   2	   1	  26	  31	  30	  30	  70	  50	 575	209966	210491	   0	  40	
  88	  88	  30	   2	1256	   3	   1	  26	  31	   1	  30	  70	  30	 393	212211	213467	   3	  30	
  89	  89	  30	   4	 726	   1	   2	  27	  31	   1	  30	  70	  30	 458	215221	215947	   0	  30	
  90	  90	  70	   2	 465	   2	   1	  27	  32	   1	  30	  70	  30	 650	217898	218363	   0	  20	
  91	  91	  30	   1	 426	   3	   1	  27	  32	   2	  30	  70	  30	 508	220193	220619	   0	  30	
  92	  92	  70	   1	 641	   2	   1	  27	  33	   2	  30	  70	  30	 608	222521	223162	   0	  40	
  93	  93	  30	   4	 587	   1	   2	  28	  33	   2	  30	  70	  30	 321	224783	225370	   0	  40	
  94	  94	  30	   2	 449	   3	   1	  28	  33	   3	  30	  70	  30	 484	227161	227610	   0	  30	
  95	  95	  30	   3	 746	   1	   2	  29	  33	   3	  30	  70	  30	 545	229472	230218	   0	  30	
  96	  96	  20	   2	1083	   2	   1	  29	   1	   3	  30	  20	  30	 411	231967	233050	   2	  20	
  97	  97	  30	   4	 709	   1	   2	  30	   1	   3	  30	  20	  30	 304	234661	235370	   0	  20	
  98	  98	  30	   2	 512	   3	   1	  30	   1	   4	  30	  20	  30	 652	237322	237834	   0	  10	
  99	  99	  30	   2	 640	   1	   1	  31	   1	   4	  30	  20	  30	 309	239450	240090	   0	   0	
 100	 100	  30	   2	 380	   3	   1	  31	   1	   5	  30	  20	  30	 698	242094	242474	   0	 -10	
 101	 101	  20	   2	 602	   2	   1	  31	   2	   5	  30	  20	  30	 418	244223	244825	   0	 -20	
 102	 102	  30	   3	 470	   1	   2	  32	   2	   5	  30	  20	  30	 310	246435	246905	   0	 -20	
 103	 103	  20	   1	 694	   2	   1	  32	   3	   5	  30	  20	  30	 349	248563	249257	   0	 -10	
 104	 104	  30	   3	 695	   3	   2	  32	   3	   6	  30	  20	  30	 488	251058	251753	   0	 -10	
 105	 105	  20	   2	 375	   2	   1	  32	   4	   6	  30	  20	  30	 541	253602	253977	   0	 -20	
 106	 106	  30	   2	 426	   3	   1	  32	   4	   7	  30	  20	  30	 354	255631	256057	   0	 -30	
 107	 107	  20	   2	 706	   2	   1	  32	   5	   7	  30	  20	  30	 608	257959	258665	   0	 -40	
 108	 108	  30	   4	 401	   3	   2	  32	   5	   8	  30	  20	  30	 559	260520	260921	   0	 -40	
 109	 109	  20	   1	 475	   2	   1	  32	   6	   8	  30	  20	  30	 571	262798	263273	   0	 -30	
 110	 110	  30	   4	 539	   1	   2	  33	   6	   8	  30	  20	  30	 336	264910	265449	   0	 -30	
 111	 111	  30	   2	 512	   3	   1	  33	   6	   9	  30	  20	  30	 533	267305	267817	   0	 -40	
 112	 112	  20	   2	 457	   2	   1	  33	   7	   9	  30	  20	  30	 450	269583	270040	   0	 -50	
 113	 113	  30	   3	 549	   3	   2	  33	   7	  10	  30	  20	  30	 457	271795	272344	   0	 -50	
 114	 114	  30	   4	 608	   1	   2	  34	   7	  10	  30	  20	  30	 397	274056	274664	   0	 -50	
