Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1523	   1	   1	   1	   0	   0	  30	  70	  50	 439	1679	3202	   0	 -10	
   2	   2	  50	   2	1211	   3	   1	   1	   0	   1	  30	  70	  50	 671	5159	6370	   0	 -20	
   3	   3	  30	   2	 815	   1	   1	   2	   0	   1	  30	  70	  50	 657	8306	9121	   0	 -30	
   4	   4	  50	   1	1338	   3	   1	   2	   0	   2	  30	  70	  50	 677	11079	12417	   0	 -20	
   5	   5	  70	   1	1455	   2	   1	   2	   1	   2	  30	  70	  50	 360	14066	15521	   0	 -10	
   6	   6	  30	   4	 655	   1	   2	   3	   1	   2	  30	  70	  50	 625	17426	18081	   0	 -10	
   7	   7	  50	   4	 474	   3	   2	   3	   1	   3	  30	  70	  50	 514	19879	20353	   0	 -10	
   8	   8	  70	   1	 319	   2	   1	   3	   2	   3	  30	  70	  50	 511	22146	22465	   0	   0	
   9	   9	  50	   4	1501	   3	   2	   3	   2	   4	  30	  70	  50	 303	24052	25553	   0	   0	
  10	  10	  30	   3	1410	   1	   2	   4	   2	   4	  30	  70	  50	 610	27439	28849	   0	   0	
  11	  11	  50	   3	1597	   3	   2	   4	   2	   5	  30	  70	  50	 550	30692	32289	   0	   0	
  12	  12	  70	   1	 514	   2	   1	   4	   3	   5	  30	  70	  50	 354	33919	34433	   0	  10	
  13	  13	  50	   2	1069	   3	   1	   4	   3	   6	  30	  70	  50	 339	36052	37121	   0	   0	
  14	  14	  70	   2	1184	   2	   1	   4	   4	   6	  30	  70	  50	 305	38705	39889	   0	 -10	
  15	  15	  50	   3	 611	   3	   2	   4	   4	   7	  30	  70	  50	 678	41838	42449	   0	 -10	
  16	  16	  30	   3	1047	   1	   2	   5	   4	   7	  30	  70	  50	 622	44345	45392	   0	 -10	
  17	  17	  70	   2	1492	   2	   1	   5	   5	   7	  30	  70	  50	 384	47052	48544	   0	 -20	
  18	  18	  50	   1	 711	   3	   1	   5	   5	   8	  30	  70	  50	 514	50345	51056	   0	 -10	
