Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	1853	   1	   2	   1	   0	   0	  30	  70	  50	 659	-240	1613	   0	   0	
   2	   2	  50	   4	1855	   3	   2	   1	   0	   1	  30	  70	  50	 631	3533	5388	   0	   0	
   3	   3	  30	   4	 589	   1	   2	   2	   0	   1	  30	  70	  50	 570	7239	7828	   0	   0	
   4	   4	  50	   3	 770	   3	   2	   2	   0	   2	  30	  70	  50	 356	9466	10236	   0	   0	
   5	   5	  70	   1	1837	   2	   1	   2	   1	   2	  30	  70	  50	 404	11919	13756	   0	  10	
   6	   6	  30	   4	 674	   1	   2	   3	   1	   2	  30	  70	  50	 671	15706	16380	   0	  10	
   7	   7	  50	   2	1218	   3	   1	   3	   1	   3	  30	  70	  50	 488	18146	19364	   0	   0	
   8	   8	  70	   1	 925	   2	   1	   3	   2	   3	  30	  70	  50	 391	21039	21964	   0	  10	
   9	   9	  50	   4	1469	   3	   2	   3	   2	   4	  30	  70	  50	 436	23679	25148	   0	  10	
  10	  10	  30	   3	 877	   1	   2	   4	   2	   4	  30	  70	  50	 320	26759	27636	   0	  10	
  11	  11	  50	   3	1587	   3	   2	   4	   2	   5	  30	  70	  50	 579	29505	31092	   0	  10	
  12	  12	  70	   1	1643	   2	   1	   4	   3	   5	  30	  70	  50	 365	32745	34388	   0	  20	
  13	  13	  50	   4	1654	   3	   2	   4	   3	   6	  30	  70	  50	 650	36318	37972	   0	  20	
  14	  14	  70	   2	1350	   2	   1	   4	   4	   6	  30	  70	  50	 503	39758	41108	   0	  10	
  15	  15	  50	   3	1201	   3	   2	   4	   4	   7	  30	  70	  50	 582	42971	44172	   0	  10	
  16	  16	  30	   3	 665	   1	   2	   5	   4	   7	  30	  70	  50	 351	45811	46476	   0	  10	
  17	  17	  70	   2	 750	   2	   1	   5	   5	   7	  30	  70	  50	 601	48358	49108	   0	   0	
  18	  18	  50	   3	 828	   3	   2	   5	   5	   8	  30	  70	  50	 554	50944	51772	   0	   0	
  19	  19	  70	   1	1137	   2	   1	   5	   6	   8	  30	  70	  50	 314	53371	54508	   0	  10	
  20	  20	  30	   4	1169	   1	   2	   6	   6	   8	  30	  70	  50	 419	56211	57380	   0	  10	
  21	  21	  50	   2	 657	   3	   1	   6	   6	   9	  30	  70	  50	 503	59171	59828	   0	   0	
  22	  22	  30	   4	 828	   1	   2	   7	   6	   9	  30	  70	  50	 594	61704	62532	   0	   0	
  23	  23	  50	   3	 772	   3	   2	   7	   6	  10	  30	  70	  50	 610	64424	65196	   0	   0	
  24	  24	  30	   4	1057	   1	   2	   8	   6	  10	  30	  70	  50	 498	66971	68028	   0	   0	
  25	  25	  70	   1	1275	   2	   1	   8	   7	  10	  30	  70	  50	 353	69664	70939	   0	  10	
  26	  26	  50	   3	 766	   3	   2	   8	   7	  11	  30	  70	  50	 418	72637	73403	   0	  10	
  27	  27	  30	   4	 673	   1	   2	   9	   7	  11	  30	  70	  50	 526	75210	75883	   0	  10	
  28	  28	  50	   4	 891	   3	   2	   9	   7	  12	  30	  70	  50	 503	77664	78555	   0	  10	
  29	  29	  70	   1	 657	   2	   1	   9	   8	  12	  30	  70	  50	 578	80410	81067	   0	  20	
  30	  30	  50	   3	 652	   3	   2	   9	   8	  13	  30	  70	  50	 628	82983	83635	   0	  20	
  31	  31	  70	   1	 614	   2	   1	   9	   9	  13	  30	  70	  50	 558	85477	86091	   0	  30	
  32	  32	  50	   3	 713	   3	   2	   9	   9	  14	  30	  70	  50	 478	87850	88563	   0	  30	
  33	  33	  30	   3	 641	   1	   2	  10	   9	  14	  30	  70	  50	 405	90250	90891	   0	  30	
  34	  34	  70	   2	 559	   2	   1	  10	  10	  14	  30	  70	  50	 496	92676	93235	   0	  20	
  35	  35	  30	   4	 601	   1	   2	  11	  10	  14	  30	  70	  50	 300	94810	95411	   0	  20	
  36	  36	  70	   1	 657	   2	   1	  11	  11	  14	  30	  70	  50	 672	97370	98027	   0	  30	
  37	  37	  50	   4	 996	   3	   2	  11	  11	  15	  30	  70	  50	 517	99823	100819	   0	  30	
  38	  38	  30	   3	 698	   1	   2	  12	  11	  15	  30	  70	  50	 515	102609	103307	   0	  30	
  39	  39	  70	   2	 719	   2	   1	  12	  12	  15	  30	  70	  50	 410	104996	105715	   0	  20	
  40	  40	  30	   4	 716	   1	   2	  13	  12	  15	  30	  70	  50	 500	107503	108219	   0	  20	
  41	  41	  50	   3	 807	   3	   2	  13	  12	  16	  30	  70	  50	 531	110036	110843	   0	  20	
  42	  42	  70	   1	 479	   2	   1	  13	  13	  16	  30	  70	  50	 668	112796	113275	   0	  30	
  43	  43	  30	   4	 490	   1	   2	  14	  13	  16	  30	  70	  50	 492	115049	115539	   0	  30	
  44	  44	  70	   1	 714	   2	   1	  14	  14	  16	  30	  70	  50	 429	117249	117963	   0	  40	
  45	  45	  50	   4	 682	   3	   2	  14	  14	  17	  30	  70	  50	 602	119849	120531	   0	  40	
  46	  46	  30	   4	 597	   1	   2	  15	  14	  17	  30	  70	  50	 404	122222	122819	   0	  40	
  47	  47	  70	   1	1562	   2	   1	  15	  15	  17	  30	  70	  50	 431	124529	126091	   0	  50	
  48	  48	  30	   3	 546	   1	   2	  16	  15	  17	  30	  70	  50	 434	127809	128355	   0	  50	
  49	  49	  70	   2	 600	   2	   1	  16	  16	  17	  30	  70	  50	 426	130075	130675	   0	  40	
  50	  50	  30	   4	 468	   1	   2	  17	  16	  17	  30	  70	  50	 545	132502	132970	   0	  40	
  51	  51	  70	   1	 519	   2	   1	  17	  17	  17	  30	  70	  50	 323	134595	135114	   0	  50	
  52	  52	  30	   4	 639	   1	   2	  18	  17	  17	  30	  70	  50	 307	136715	137354	   0	  50	
  53	  53	  70	   1	 623	   2	   1	  18	  18	  17	  30	  70	  50	 590	139235	139858	   0	  60	
  54	  54	  30	   3	 605	   1	   2	  19	  18	  17	  30	  70	  50	 329	141461	142066	   0	  60	
  55	  55	  70	   2	 517	   2	   1	  19	  19	  17	  30	  70	  50	 349	143701	144218	   0	  50	
  56	  56	  50	   4	1090	   3	   2	  19	  19	  18	  30	  70	  50	 634	146128	147218	   0	  50	
  57	  57	  30	   4	 421	   1	   2	  20	  19	  18	  30	  70	  50	 406	148901	149322	   0	  50	
  58	  58	  70	   1	 581	   2	   1	  20	  20	  18	  30	  70	  50	 655	151261	151842	   0	  60	
  59	  59	  50	   3	 544	   3	   2	  20	  20	  19	  30	  70	  50	 312	153434	153978	   0	  60	
  60	  60	  30	   2	 421	   1	   1	  21	  20	  19	  30	  70	  50	 484	155741	156162	   0	  50	
  61	  61	  50	   4	 733	   3	   2	  21	  20	  20	  30	  70	  50	 680	158141	158874	   0	  50	
  62	  62	  70	   1	 592	   2	   1	  21	  21	  20	  30	  70	  50	 386	160554	161146	   0	  60	
  63	  63	  50	   4	 699	   3	   2	  21	  21	  21	  30	  70	  50	 498	162927	163626	   0	  60	
  64	  64	  70	   2	 955	   2	   1	  21	  22	  21	  30	  70	  50	 505	165407	166362	   0	  50	
  65	  65	  50	   3	 584	   3	   2	  21	  22	  22	  30	  70	  50	 356	167994	168578	   0	  50	
  66	  66	  30	   3	 550	   1	   2	  22	  22	  22	  30	  70	  50	 606	170460	171010	   0	  50	
  67	  67	  70	   1	 371	   2	   1	  22	  23	  22	  30	  70	  50	 551	172847	173218	   0	  60	
  68	  68	  30	   4	 659	   1	   2	  23	  23	  22	  30	  70	  50	 398	174887	175546	   0	  60	
  69	  69	  50	   4	 662	   3	   2	  23	  23	  23	  30	  70	  50	 591	177420	178082	   0	  60	
  70	  70	  70	   1	 606	   2	   1	  23	  24	  23	  30	  70	  50	 574	179940	180546	   0	  70	
  71	  71	  50	   4	 510	   3	   2	  23	  24	  24	  30	  70	  50	 496	182340	182850	   0	  70	
  72	  72	  70	   1	 817	   2	   1	  23	  25	  24	  30	  70	  50	 502	184633	185450	   0	  80	
  73	  73	  50	   3	 683	   3	   2	  23	  25	  25	  30	  70	  50	 388	187127	187810	   0	  80	
  74	  74	  70	   2	1185	   2	   1	  23	  26	  25	  30	  70	  50	 664	189753	190938	   0	  70	
  75	  75	  50	   4	 726	   3	   2	  23	  26	  26	  30	  70	  50	 445	192660	193386	   0	  70	
  76	  76	  70	   1	 622	   2	   1	  23	  27	  26	  30	  70	  50	 388	195060	195682	   0	  80	
  77	  77	  50	   3	 680	   3	   2	  23	  27	  27	  30	  70	  50	 349	197313	197993	   0	  80	
  78	  78	  70	   1	 440	   2	   1	  23	  28	  27	  30	  70	  50	 547	199833	200273	   0	  90	
  79	  79	  50	   3	 782	   3	   2	  23	  28	  28	  30	  70	  50	 301	201859	202641	   0	  90	
  80	  80	  30	   4	 643	   1	   2	  24	  28	  28	  30	  70	  50	 568	204486	205129	   0	  90	
  81	  81	  70	   2	 622	   2	   1	  24	  29	  28	  30	  70	  50	 317	206739	207361	   0	  80	
  82	  82	  30	   4	 659	   1	   2	  25	  29	  28	  30	  70	  50	 523	209166	209825	   0	  80	
  83	  83	  50	   4	 817	   3	   2	  25	  29	  29	  30	  70	  50	 319	211432	212249	   0	  80	
  84	  84	  30	   3	 822	   1	   2	  26	  29	  29	  30	  70	  50	 449	213979	214801	   0	  80	
  85	  85	  70	   1	 595	   2	   1	  26	  30	  29	  30	  70	  50	 572	216646	217241	   0	  90	
  86	  86	  50	   3	 889	   3	   2	  26	  30	  30	  30	  70	  50	 590	219112	220001	   0	  90	
  87	  87	  70	   1	 540	   2	   1	  26	  31	  30	  30	  70	  50	 641	221925	222465	   0	 100	
  88	  88	  30	   4	1180	   3	   2	  26	  31	   1	  30	  70	  30	 599	224365	225545	   3	 100	
  89	  89	  30	   4	 614	   1	   2	  27	  31	   1	  30	  70	  30	 596	227419	228033	   0	 100	
  90	  90	  70	   2	 687	   2	   1	  27	  32	   1	  30	  70	  30	 458	229778	230465	   0	  90	
  91	  91	  30	   3	 583	   3	   2	  27	  32	   2	  30	  70	  30	 693	232458	233041	   0	  90	
  92	  92	  70	   1	1009	   2	   1	  27	  33	   2	  30	  70	  30	 666	234992	236001	   0	 100	
  93	  93	  30	   4	 551	   1	   2	  28	  33	   2	  30	  70	  30	 581	237858	238409	   0	 100	
  94	  94	  30	   2	 444	   3	   1	  28	  33	   3	  30	  70	  30	 516	240205	240649	   0	  90	
  95	  95	  30	   3	1132	   1	   2	  29	  33	   3	  30	  70	  30	 635	242565	243697	   0	  90	
  96	  96	  20	   2	1116	   2	   1	  29	   1	   3	  30	  20	  30	 542	245525	246641	   2	  80	
  97	  97	  30	   4	 914	   1	   2	  30	   1	   3	  30	  20	  30	 632	248551	249465	   0	  80	
  98	  98	  30	   4	 653	   3	   2	  30	   1	   4	  30	  20	  30	 584	251324	251977	   0	  80	
  99	  99	  30	   4	 663	   1	   2	  31	   1	   4	  30	  20	  30	 647	253898	254561	   0	  80	
 100	 100	  30	   4	 506	   3	   2	  31	   1	   5	  30	  20	  30	 633	256471	256977	   0	  80	
 101	 101	  20	   4	1157	   2	   2	  31	   2	   5	  30	  20	  30	 690	258964	260121	   0	  80	
 102	 102	  30	   3	 809	   1	   2	  32	   2	   5	  30	  20	  30	 626	262031	262840	   0	  80	
 103	 103	  20	   3	 740	   2	   2	  32	   3	   5	  30	  20	  30	 408	264524	265264	   0	  80	
 104	 104	  30	   3	 492	   3	   2	  32	   3	   6	  30	  20	  30	 576	267124	267616	   0	  80	
 105	 105	  20	   4	 609	   2	   2	  32	   4	   6	  30	  20	  30	 641	269551	270160	   0	  80	
 106	 106	  30	   4	 452	   3	   2	  32	   4	   7	  30	  20	  30	 690	272124	272576	   0	  80	
 107	 107	  20	   4	 516	   2	   2	  32	   5	   7	  30	  20	  30	 656	274524	275040	   0	  80	
 108	 108	  30	   4	 532	   3	   2	  32	   5	   8	  30	  20	  30	 523	276844	277376	   0	  80	
 109	 109	  20	   3	 511	   2	   2	  32	   6	   8	  30	  20	  30	 558	279217	279728	   0	  80	
 110	 110	  30	   4	 551	   1	   2	  33	   6	   8	  30	  20	  30	 485	281497	282048	   0	  80	
 111	 111	  30	   4	 735	   3	   2	  33	   6	   9	  30	  20	  30	 310	283657	284392	   0	  80	
 112	 112	  20	   4	 506	   2	   2	  33	   7	   9	  30	  20	  30	 474	286150	286656	   0	  80	
 113	 113	  30	   3	 485	   3	   2	  33	   7	  10	  30	  20	  30	 694	288643	289128	   0	  80	
 114	 114	  30	   4	 552	   1	   2	  34	   7	  10	  30	  20	  30	 643	291056	291608	   0	  80	
 115	 115	  30	   3	 525	   3	   2	  34	   7	  11	  30	  20	  30	 636	293523	294048	   0	  80	
 116	 116	  30	   4	 448	   1	   2	  35	   7	  11	  30	  20	  30	 401	295736	296184	   0	  80	
 117	 117	  30	   4	 517	   3	   2	  35	   7	  12	  30	  20	  30	 533	298003	298520	   0	  80	
 118	 118	  80	   1	 738	   1	   1	   1	   7	  12	  80	  20	  30	 615	300430	301168	   1	  90	
 119	 119	  30	   4	 533	   3	   2	   1	   7	  13	  80	  20	  30	 594	303043	303576	   0	  90	
 120	 120	  20	   4	 624	   2	   2	   1	   8	  13	  80	  20	  30	 513	305376	306000	   0	  90	
 121	 121	  80	   1	 483	   1	   1	   2	   8	  13	  80	  20	  30	 663	307949	308432	   0	 100	
 122	 122	  30	   4	 536	   3	   2	   2	   8	  14	  80	  20	  30	 584	310296	310832	   0	 100	
 123	 123	  80	   2	 459	   1	   1	   3	   8	  14	  80	  20	  30	 678	312789	313248	   0	  90	
 124	 124	  30	   3	 510	   3	   2	   3	   8	  15	  80	  20	  30	 477	315002	315512	   0	  90	
 125	 125	  80	   1	 499	   1	   1	   4	   8	  15	  80	  20	  30	 588	317389	317888	   0	 100	
 126	 126	  30	   4	 542	   3	   2	   4	   8	  16	  80	  20	  30	 630	319802	320344	   0	 100	
 127	 127	  80	   1	 480	   1	   1	   5	   8	  16	  80	  20	  30	 678	322295	322775	   0	 110	
 128	 128	  30	   4	 536	   3	   2	   5	   8	  17	  80	  20	  30	 352	324415	324951	   0	 110	
 129	 129	  20	   4	 689	   2	   2	   5	   9	  17	  80	  20	  30	 578	326815	327504	   0	 110	
 130	 130	  80	   2	 576	   1	   1	   6	   9	  17	  80	  20	  30	 634	329415	329991	   0	 100	
 131	 131	  30	   4	 515	   3	   2	   6	   9	  18	  80	  20	  30	 302	331588	332103	   0	 100	
 132	 132	  80	   1	 368	   1	   1	   7	   9	  18	  80	  20	  30	 316	333695	334063	   0	 110	
 133	 133	  30	   3	 544	   3	   2	   7	   9	  19	  80	  20	  30	 675	336015	336559	   0	 110	
 134	 134	  80	   1	 440	   1	   1	   8	   9	  19	  80	  20	  30	 656	338495	338935	   0	 120	
 135	 135	  20	   4	 558	   2	   2	   8	  10	  19	  80	  20	  30	 416	340641	341199	   0	 120	
 136	 136	  80	   1	 438	   1	   1	   9	  10	  19	  80	  20	  30	 445	342921	343359	   0	 130	
 137	 137	  20	   3	 496	   2	   2	   9	  11	  19	  80	  20	  30	 421	345055	345551	   0	 130	
 138	 138	  80	   1	 435	   1	   1	  10	  11	  19	  80	  20	  30	 388	347228	347663	   0	 140	
 139	 139	  20	   4	 472	   2	   2	  10	  12	  19	  80	  20	  30	 552	349495	349967	   0	 140	
 140	 140	  30	   4	 523	   3	   2	  10	  12	  20	  80	  20	  30	 658	351908	352431	   0	 140	
 141	 141	  80	   2	 446	   1	   1	  11	  12	  20	  80	  20	  30	 506	354241	354687	   0	 130	
 142	 142	  30	   3	 419	   3	   2	  11	  12	  21	  80	  20	  30	 497	356468	356887	   0	 130	
 143	 143	  20	   4	 601	   2	   2	  11	  13	  21	  80	  20	  30	 607	358774	359375	   0	 130	
 144	 144	  80	   1	 452	   1	   1	  12	  13	  21	  80	  20	  30	 406	361067	361519	   0	 140	
 145	 145	  30	   4	 566	   3	   2	  12	  13	  22	  80	  20	  30	 403	363201	363767	   0	 140	
 146	 146	  20	   4	 622	   2	   2	  12	  14	  22	  80	  20	  30	 634	365681	366303	   0	 140	
 147	 147	  30	   4	 609	   3	   2	  12	  14	  23	  80	  20	  30	 677	368254	368863	   0	 140	
 148	 148	  20	   4	 700	   2	   2	  12	  15	  23	  80	  20	  30	 610	370747	371447	   0	 140	
 149	 149	  80	   1	 465	   1	   1	  13	  15	  23	  80	  20	  30	 451	373174	373639	   0	 150	
 150	 150	  20	   4	 436	   2	   2	  13	  16	  23	  80	  20	  30	 474	375387	375823	   0	 150	
 151	 151	  80	   1	 372	   1	   1	  14	  16	  23	  80	  20	  30	 517	377627	377999	   0	 160	
 152	 152	  20	   4	 389	   2	   2	  14	  17	  23	  80	  20	  30	 319	379586	379975	   0	 160	
 153	 153	  30	   4	 562	   3	   2	  14	  17	  24	  80	  20	  30	 313	381573	382135	   0	 160	
 154	 154	  20	   3	 564	   2	   2	  14	  18	  24	  80	  20	  30	 364	383787	384351	   0	 160	
 155	 155	  80	   1	 380	   1	   1	  15	  18	  24	  80	  20	  30	 551	386187	386567	   0	 170	
 156	 156	  30	   4	 419	   3	   2	  15	  18	  25	  80	  20	  30	 464	388307	388726	   0	 170	
 157	 157	  80	   1	 465	   1	   1	  16	  18	  25	  80	  20	  30	 491	390493	390958	   0	 180	
 158	 158	  20	   4	 534	   2	   2	  16	  19	  25	  80	  20	  30	 609	392840	393374	   0	 180	
 159	 159	  30	   4	 628	   3	   2	  16	  19	  26	  80	  20	  30	 490	395146	395774	   0	 180	
 160	 160	  80	   1	 385	   1	   1	  17	  19	  26	  80	  20	  30	 518	397573	397958	   0	 190	
 161	 161	  20	   4	 420	   2	   2	  17	  20	  26	  80	  20	  30	 383	399626	400046	   0	 190	
 162	 162	  30	   3	 540	   3	   2	  17	  20	  27	  80	  20	  30	 544	401866	402406	   0	 190	
 163	 163	  80	   2	 468	   1	   1	  18	  20	  27	  80	  20	  30	 422	404106	404574	   0	 180	
 164	 164	  30	   4	 377	   3	   2	  18	  20	  28	  80	  20	  30	 636	406493	406870	   0	 180	
 165	 165	  20	   2	 439	   2	   1	  18	  21	  28	  80	  20	  30	 361	408519	408958	   0	 170	
 166	 166	  30	   4	 519	   3	   2	  18	  21	  29	  80	  20	  30	 432	410679	411198	   0	 170	
 167	 167	  80	   1	 418	   1	   1	  19	  21	  29	  80	  20	  30	 522	413012	413430	   0	 180	
 168	 168	  30	   3	 644	   3	   2	  19	  21	  30	  80	  20	  30	 346	415066	415710	   0	 180	
 169	 169	  20	   4	 546	   2	   2	  19	  22	  30	  80	  20	  30	 504	417492	418038	   0	 180	
 170	 170	  30	   4	 658	   3	   2	  19	  22	  31	  80	  20	  30	 330	419652	420310	   0	 180	
 171	 171	  80	   1	 450	   1	   1	  20	  22	  31	  80	  20	  30	 371	421972	422422	   0	 190	
 172	 172	  30	   4	 525	   3	   2	  20	  22	  32	  80	  20	  30	 490	424185	424710	   0	 190	
 173	 173	  20	   3	 559	   2	   2	  20	  23	  32	  80	  20	  30	 486	426479	427038	   0	 190	
 174	 174	  80	   1	 514	   1	   1	  21	  23	  32	  80	  20	  30	 568	428892	429406	   0	 200	
 175	 175	  30	   4	 504	   3	   2	  21	  23	  33	  80	  20	  30	 509	431198	431702	   0	 200	
 176	 176	  80	   1	 405	   1	   1	  22	  23	  33	  80	  20	  30	 568	433545	433950	   0	 210	
 177	 177	  30	   3	 600	   3	   2	  22	  23	  34	  80	  20	  30	 683	435918	436518	   0	 210	
 178	 178	  80	   2	 424	   1	   1	  23	  23	  34	  80	  20	  30	 387	438198	438622	   0	 200	
 179	 179	  30	   4	 528	   3	   2	  23	  23	  35	  80	  20	  30	 617	440518	441046	   0	 200	
 180	 180	  20	   4	 587	   2	   2	  23	  24	  35	  80	  20	  30	 529	442851	443438	   0	 200	
 181	 181	  70	   1	1048	   3	   1	  23	  24	   1	  80	  20	  70	 687	445438	446486	   3	 210	
 182	 182	  20	   3	 541	   2	   2	  23	  25	   1	  80	  20	  70	 661	448425	448966	   0	 210	
 183	 183	  80	   1	 520	   1	   1	  24	  25	   1	  80	  20	  70	 638	450878	451398	   0	 220	
 184	 184	  70	   2	 533	   3	   1	  24	  25	   2	  80	  20	  70	 619	453304	453837	   0	 210	
 185	 185	  20	   4	 551	   2	   2	  24	  26	   2	  80	  20	  70	 475	455598	456149	   0	 210	
 186	 186	  70	   1	 357	   3	   1	  24	  26	   3	  80	  20	  70	 629	458064	458421	   0	 220	
 187	 187	  20	   4	 541	   2	   2	  24	  27	   3	  80	  20	  70	 527	460224	460765	   0	 220	
 188	 188	  70	   2	 549	   3	   1	  24	  27	   4	  80	  20	  70	 385	462424	462973	   0	 210	
 189	 189	  20	   4	 557	   2	   2	  24	  28	   4	  80	  20	  70	 362	464624	465181	   0	 210	
 190	 190	  80	   2	 466	   1	   1	  25	  28	   4	  80	  20	  70	 516	466971	467437	   0	 200	
 191	 191	  70	   1	 562	   3	   1	  25	  28	   5	  80	  20	  70	 470	469211	469773	   0	 210	
 192	 192	  80	   1	 563	   1	   1	  26	  28	   5	  80	  20	  70	 348	471410	471973	   0	 220	
 193	 193	  20	   4	 568	   2	   2	  26	  29	   5	  80	  20	  70	 575	473837	474405	   0	 220	
 194	 194	  70	   1	 573	   3	   1	  26	  29	   6	  80	  20	  70	 456	476144	476717	   0	 230	
 195	 195	  20	   4	 499	   2	   2	  26	  30	   6	  80	  20	  70	 408	478410	478909	   0	 230	
 196	 196	  70	   1	 600	   3	   1	  26	  30	   7	  80	  20	  70	 568	480757	481357	   0	 240	
 197	 197	  80	   1	 448	   1	   1	  27	  30	   7	  80	  20	  70	 391	483037	483485	   0	 250	
 198	 198	  50	   1	 862	   2	   1	  27	   1	   7	  80	  50	  70	 366	485143	486005	   2	 260	
 199	 199	  70	   2	 547	   3	   1	  27	   1	   8	  80	  50	  70	 481	487770	488317	   0	 250	
 200	 200	  50	   2	 771	   2	   1	  27	   2	   8	  80	  50	  70	 521	490130	490901	   0	 240	
 201	 201	  80	   1	 537	   1	   1	  28	   2	   8	  80	  50	  70	 572	492756	493293	   0	 250	
 202	 202	  70	   1	 675	   3	   1	  28	   2	   9	  80	  50	  70	 558	495130	495805	   0	 260	
 203	 203	  50	   1	 774	   2	   1	  28	   3	   9	  80	  50	  70	 335	497423	498197	   0	 270	
 204	 204	  70	   1	 417	   3	   1	  28	   3	  10	  80	  50	  70	 518	499996	500413	   0	 280	
 205	 205	  50	   2	 657	   2	   1	  28	   4	  10	  80	  50	  70	 658	502356	503013	   0	 270	
 206	 206	  70	   2	 508	   3	   1	  28	   4	  11	  80	  50	  70	 307	504609	505117	   0	 260	
 207	 207	  50	   2	 521	   2	   1	  28	   5	  11	  80	  50	  70	 553	506956	507477	   0	 250	
 208	 208	  80	   1	 451	   1	   1	  29	   5	  11	  80	  50	  70	 487	509249	509700	   0	 260	
 209	 209	  50	   3	 505	   2	   2	  29	   6	  11	  80	  50	  70	 663	511636	512141	   0	 260	
 210	 210	  80	   1	 502	   1	   1	  30	   6	  11	  80	  50	  70	 401	513822	514324	   0	 270	
 211	 211	  70	   2	 515	   3	   1	  30	   6	  12	  80	  50	  70	 435	516049	516564	   0	 260	
 212	 212	  50	   3	 427	   2	   2	  30	   7	  12	  80	  50	  70	 361	518209	518636	   0	 260	
 213	 213	  80	   1	 523	   1	   1	  31	   7	  12	  80	  50	  70	 527	520449	520972	   0	 270	
 214	 214	  70	   1	 513	   3	   1	  31	   7	  13	  80	  50	  70	 664	522915	523428	   0	 280	
 215	 215	  80	   1	 395	   1	   1	  32	   7	  13	  80	  50	  70	 622	525329	525724	   0	 290	
 216	 216	  70	   1	 539	   3	   1	  32	   7	  14	  80	  50	  70	 687	527689	528228	   0	 300	
 217	 217	  50	   2	 510	   2	   1	  32	   8	  14	  80	  50	  70	 506	530022	530532	   0	 290	
