Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
NaN	   1	  30	NaN	NaN	   1	   3	   0	   0	   0	  30	  70	  50	 396	   0	NaN	   0	   0	
   1	   2	  50	   2	 734	   3	   1	   0	   0	   1	  30	  70	  50	 438	5231	5965	   0	 -10	
   2	   3	  30	   2	 515	   1	   1	   1	   0	   1	  30	  70	  50	 661	7930	8445	   0	 -20	
   3	   4	  50	   3	 714	   3	   2	   1	   0	   2	  30	  70	  50	 405	10163	10877	   0	 -20	
   4	   5	  70	   1	 678	   2	   1	   1	   1	   2	  30	  70	  50	 492	12679	13357	   0	 -10	
   5	   6	  30	   2	1071	   1	   1	   2	   1	   2	  30	  70	  50	 622	15278	16349	   0	 -20	
   6	   7	  50	   4	 652	   3	   2	   2	   1	   3	  30	  70	  50	 518	18177	18829	   0	 -20	
   7	   8	  70	   3	1220	   2	   2	   2	   2	   3	  30	  70	  50	 652	20793	22013	   0	 -20	
   8	   9	  50	   2	1040	   3	   1	   2	   2	   4	  30	  70	  50	 400	23725	24765	   0	 -30	
   9	  10	  30	   4	 455	   1	   2	   3	   2	   4	  30	  70	  50	 302	26374	26829	   0	 -30	
  10	  11	  50	   3	 504	   3	   2	   3	   2	   5	  30	  70	  50	 647	28773	29277	   0	 -30	
  11	  12	  70	   3	 379	   2	   2	   3	   3	   5	  30	  70	  50	 524	31122	31501	   0	 -30	
  12	  13	  50	   4	 496	   3	   2	   3	   3	   6	  30	  70	  50	 609	33405	33901	   0	 -30	
  13	  14	  70	   2	 262	   2	   1	   3	   4	   6	  30	  70	  50	 489	35687	35949	   0	 -40	
  14	  15	  50	   1	 502	   3	   1	   3	   4	   7	  30	  70	  50	 463	37703	38205	   0	 -30	
  15	  16	  30	   1	 691	   1	   1	   4	   4	   7	  30	  70	  50	 675	40186	40877	   0	 -20	
  16	  17	  70	   4	 670	   2	   2	   4	   5	   7	  30	  70	  50	 538	42718	43388	   0	 -20	
  17	  18	  50	   3	 880	   3	   2	   4	   5	   8	  30	  70	  50	 395	45084	45964	   0	 -20	
  18	  19	  70	   3	 828	   2	   2	   4	   6	   8	  30	  70	  50	 340	47616	48444	   0	 -20	
  19	  20	  30	   3	 340	   1	   2	   5	   6	   8	  30	  70	  50	 493	50232	50572	   0	 -20	
  20	  21	  50	   4	 292	   3	   2	   5	   6	   9	  30	  70	  50	 376	52248	52540	   0	 -20	
  21	  22	  30	   2	 285	   1	   1	   6	   6	   9	  30	  70	  50	 588	54447	54732	   0	 -30	
  22	  23	  50	   1	 430	   3	   1	   6	   6	  10	  30	  70	  50	 389	56430	56860	   0	 -20	
  23	  24	  30	   4	 290	   1	   2	   7	   6	  10	  30	  70	  50	 569	58746	59036	   0	 -20	
  24	  25	  70	   3	 556	   2	   2	   7	   7	  10	  30	  70	  50	 576	60912	61468	   0	 -20	
  25	  26	  50	   3	 328	   3	   2	   7	   7	  11	  30	  70	  50	 660	63428	63756	   0	 -20	
  26	  27	  30	   2	 504	   1	   1	   8	   7	  11	  30	  70	  50	 387	65444	65948	   0	 -30	
  27	  28	  50	   2	 472	   3	   1	   8	   7	  12	  30	  70	  50	 628	67876	68348	   0	 -40	
  28	  29	  70	   1	 601	   2	   1	   8	   8	  12	  30	  70	  50	 620	70275	70876	   0	 -30	
  29	  30	  50	   1	 530	   3	   1	   8	   8	  13	  30	  70	  50	 694	72874	73404	   0	 -20	
  30	  31	  70	   3	 387	   2	   2	   8	   9	  13	  30	  70	  50	 536	75257	75644	   0	 -20	
  31	  32	  50	   1	 639	   3	   1	   8	   9	  14	  30	  70	  50	 424	77389	78028	   0	 -10	
  32	  33	  30	   4	 249	   1	   2	   9	   9	  14	  30	  70	  50	 616	79955	80204	   0	 -10	
