Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	 676	   1	   1	   1	   0	   0	  30	  70	  50	 636	2016	2692	   0	 -10	
   2	   2	  50	   2	 789	   3	   1	   1	   0	   1	  30	  70	  50	 368	4367	5156	   0	 -20	
   3	   3	  30	   4	 648	   1	   2	   2	   0	   1	  30	  70	  50	 598	7068	7716	   0	 -20	
   4	   4	  50	   3	 579	   3	   2	   2	   0	   2	  30	  70	  50	 559	9585	10164	   0	 -20	
   5	   5	  70	   1	 666	   2	   1	   2	   1	   2	  30	  70	  50	 320	11786	12452	   0	 -10	
   6	   6	  30	   4	 371	   1	   2	   3	   1	   2	  30	  70	  50	 576	14337	14708	   0	 -10	
   7	   7	  50	   4	 505	   3	   2	   3	   1	   3	  30	  70	  50	 551	16571	17076	   0	 -10	
   8	   8	  70	   3	 420	   2	   2	   3	   2	   3	  30	  70	  50	 314	18688	19108	   0	 -10	
   9	   9	  50	   4	 633	   3	   2	   3	   2	   4	  30	  70	  50	 536	20955	21588	   0	 -10	
  10	  10	  30	   3	 371	   1	   2	   4	   2	   4	  30	  70	  50	 593	23489	23860	   0	 -10	
  11	  11	  50	   3	 389	   3	   2	   4	   2	   5	  30	  70	  50	 647	25823	26212	   0	 -10	
  12	  12	  70	   3	 368	   2	   2	   4	   3	   5	  30	  70	  50	 389	27907	28275	   0	 -10	
  13	  13	  50	   4	 448	   3	   2	   4	   3	   6	  30	  70	  50	 304	29891	30339	   0	 -10	
  14	  14	  70	   4	 334	   2	   2	   4	   4	   6	  30	  70	  50	 671	32325	32659	   0	 -10	
  15	  15	  50	   3	 430	   3	   2	   4	   4	   7	  30	  70	  50	 343	34309	34739	   0	 -10	
  16	  16	  30	   3	 336	   1	   2	   5	   4	   7	  30	  70	  50	 599	36643	36979	   0	 -10	
  17	  17	  70	   2	 326	   2	   1	   5	   5	   7	  30	  70	  50	 583	38877	39203	   0	 -20	
  18	  18	  50	   3	 602	   3	   2	   5	   5	   8	  30	  70	  50	 660	41161	41763	   0	 -20	
  19	  19	  70	   1	 520	   2	   1	   5	   6	   8	  30	  70	  50	 519	43595	44115	   0	 -10	
  20	  20	  30	   4	 428	   1	   2	   6	   6	   8	  30	  70	  50	 431	45863	46291	   0	 -10	
  21	  21	  50	   4	 323	   3	   2	   6	   6	   9	  30	  70	  50	 467	48080	48403	   0	 -10	
  22	  22	  30	   4	 483	   1	   2	   7	   6	   9	  30	  70	  50	 368	50080	50563	   0	 -10	
  23	  23	  50	   3	 528	   3	   2	   7	   6	  10	  30	  70	  50	 644	52515	53043	   0	 -10	
  24	  24	  30	   4	 399	   1	   2	   8	   6	  10	  30	  70	  50	 587	54932	55331	   0	 -10	
  25	  25	  70	   3	 357	   2	   2	   8	   7	  10	  30	  70	  50	 524	57166	57523	   0	 -10	
  26	  26	  50	   3	 506	   3	   2	   8	   7	  11	  30	  70	  50	 593	59417	59923	   0	 -10	
  27	  27	  30	   4	 411	   1	   2	   9	   7	  11	  30	  70	  50	 550	61784	62195	   0	 -10	
  28	  28	  50	   4	 414	   3	   2	   9	   7	  12	  30	  70	  50	 601	64101	64515	   0	 -10	
  29	  29	  70	   1	 357	   2	   1	   9	   8	  12	  30	  70	  50	 496	66302	66659	   0	   0	
  30	  30	  50	   3	 417	   3	   2	   9	   8	  13	  30	  70	  50	 438	68402	68819	   0	   0	
  31	  31	  70	   1	 417	   2	   1	   9	   9	  13	  30	  70	  50	 629	70770	71187	   0	  10	
  32	  32	  50	   3	 699	   3	   2	   9	   9	  14	  30	  70	  50	 418	72920	73619	   0	  10	
  33	  33	  30	   3	 461	   1	   2	  10	   9	  14	  30	  70	  50	 319	75254	75715	   0	  10	
