Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   2	1383	   1	   1	   1	   0	   0	  30	  70	  50	 329	1515	2898	   0	 -10	
   2	   2	  50	   4	1306	   3	   2	   1	   0	   1	  30	  70	  50	 630	4824	6130	   0	 -10	
   3	   3	  30	   4	 964	   1	   2	   2	   0	   1	  30	  70	  50	 506	7934	8898	   0	 -10	
   4	   4	  50	   3	 441	   3	   2	   2	   0	   2	  30	  70	  50	 555	10761	11202	   0	 -10	
   5	   5	  70	   3	1022	   2	   2	   2	   1	   2	  30	  70	  50	 627	13123	14145	   0	 -10	
   6	   6	  30	   4	1173	   1	   2	   3	   1	   2	  30	  70	  50	 468	15916	17089	   0	 -10	
   7	   7	  50	   4	1272	   3	   2	   3	   1	   3	  30	  70	  50	 392	18777	20049	   0	 -10	
NaN	   8	  70	NaN	NaN	   2	   3	   3	   1	   3	  30	  70	  50	 353	18777	NaN	   0	 -10	
   8	   9	  50	   4	1547	   3	   2	   3	   1	   4	  30	  70	  50	 502	25478	27025	   0	 -10	
   9	  10	  30	   3	 696	   1	   2	   4	   1	   4	  30	  70	  50	 610	28937	29633	   0	 -10	
  10	  11	  50	   3	 770	   3	   2	   4	   1	   5	  30	  70	  50	 699	31631	32401	   0	 -10	
  11	  12	  70	   1	1309	   2	   1	   4	   2	   5	  30	  70	  50	 569	34292	35601	   0	   0	
  12	  13	  50	   4	1148	   3	   2	   4	   2	   6	  30	  70	  50	 380	37269	38417	   0	   0	
  13	  14	  70	   1	1512	   2	   1	   4	   3	   6	  30	  70	  50	 627	40345	41857	   0	  10	
  14	  15	  50	   3	 862	   3	   2	   4	   3	   7	  30	  70	  50	 404	43555	44417	   0	  10	
  15	  16	  30	   3	1368	   1	   2	   5	   3	   7	  30	  70	  50	 517	46232	47600	   0	  10	
  16	  17	  70	   2	 969	   2	   1	   5	   4	   7	  30	  70	  50	 683	49591	50560	   0	   0	
  17	  18	  50	   3	 809	   3	   2	   5	   4	   8	  30	  70	  50	 664	52535	53344	   0	   0	
  18	  19	  70	   2	1623	   2	   1	   5	   5	   8	  30	  70	  50	 487	55129	56752	   0	 -10	
  19	  20	  30	   4	 927	   1	   2	   6	   5	   8	  30	  70	  50	 670	58721	59648	   0	 -10	
  20	  21	  50	   2	 950	   3	   1	   6	   5	   9	  30	  70	  50	 559	61498	62448	   0	 -20	
  21	  22	  30	   4	1050	   1	   2	   7	   5	   9	  30	  70	  50	 578	64342	65392	   0	 -20	
  22	  23	  50	   3	1632	   3	   2	   7	   5	  10	  30	  70	  50	 446	67136	68768	   0	 -20	
  23	  24	  30	   4	 891	   1	   2	   8	   5	  10	  30	  70	  50	 594	70661	71552	   0	 -20	
  24	  25	  70	   1	 677	   2	   1	   8	   6	  10	  30	  70	  50	 500	73355	74032	   0	 -10	
  25	  26	  50	   1	1165	   3	   1	   8	   6	  11	  30	  70	  50	 349	75683	76848	   0	   0	
  26	  27	  30	   4	 646	   1	   2	   9	   6	  11	  30	  70	  50	 646	78793	79439	   0	   0	
  27	  28	  50	   4	 839	   3	   2	   9	   6	  12	  30	  70	  50	 563	81288	82127	   0	   0	
  28	  29	  70	   1	 613	   2	   1	   9	   7	  12	  30	  70	  50	 451	83882	84495	   0	  10	
  29	  30	  50	   1	 614	   3	   1	   9	   7	  13	  30	  70	  50	 603	86393	87007	   0	  20	
  30	  31	  70	   1	 713	   2	   1	   9	   8	  13	  30	  70	  50	 537	88854	89567	   0	  30	
  31	  32	  50	   1	 746	   3	   1	   9	   8	  14	  30	  70	  50	 485	91365	92111	   0	  40	
  32	  33	  30	   3	1040	   1	   2	  10	   8	  14	  30	  70	  50	 346	93743	94783	   0	  40	
  33	  34	  70	   1	 549	   2	   1	  10	   9	  14	  30	  70	  50	 470	96554	97103	   0	  50	
  34	  35	  30	   4	 979	   1	   2	  11	   9	  14	  30	  70	  50	 311	98716	99695	   0	  50	
  35	  36	  70	   2	 526	   2	   1	  11	  10	  14	  30	  70	  50	 399	101393	101919	   0	  40	
  36	  37	  50	   4	 850	   3	   2	  11	  10	  15	  30	  70	  50	 599	103821	104671	   0	  40	
  37	  38	  30	   3	 898	   1	   2	  12	  10	  15	  30	  70	  50	 395	106365	107263	   0	  40	
  38	  39	  70	   1	 408	   2	   1	  12	  11	  15	  30	  70	  50	 566	109142	109550	   0	  50	
  39	  40	  30	   4	 778	   1	   2	  13	  11	  15	  30	  70	  50	 341	111188	111966	   0	  50	
  40	  41	  50	   1	 507	   3	   1	  13	  11	  16	  30	  70	  50	 447	113699	114206	   0	  60	
  41	  42	  70	   2	 476	   2	   1	  13	  12	  16	  30	  70	  50	 681	116210	116686	   0	  50	
  42	  43	  30	   4	 672	   1	   2	  14	  12	  16	  30	  70	  50	 660	118638	119310	   0	  50	
  43	  44	  70	   1	 857	   2	   1	  14	  13	  16	  30	  70	  50	 332	120949	121806	   0	  60	
  44	  45	  50	   2	 883	   3	   1	  14	  13	  17	  30	  70	  50	 516	123627	124510	   0	  50	
  45	  46	  30	   4	 880	   1	   2	  15	  13	  17	  30	  70	  50	 415	126238	127118	   0	  50	
  46	  47	  70	   1	 557	   2	   1	  15	  14	  17	  30	  70	  50	 428	128849	129406	   0	  60	
  47	  48	  30	   3	 570	   1	   2	  16	  14	  17	  30	  70	  50	 364	131060	131630	   0	  60	
  48	  49	  70	   1	 482	   2	   1	  16	  15	  17	  30	  70	  50	 454	133388	133870	   0	  70	
  49	  50	  30	   4	 680	   1	   2	  17	  15	  17	  30	  70	  50	 569	135750	136430	   0	  70	
  50	  51	  70	   2	 445	   2	   1	  17	  16	  17	  30	  70	  50	 418	138145	138590	   0	  60	
  51	  52	  30	   4	 531	   1	   2	  18	  16	  17	  30	  70	  50	 644	140539	141070	   0	  60	
  52	  53	  70	   1	 424	   2	   1	  18	  17	  17	  30	  70	  50	 531	142901	143325	   0	  70	
  53	  54	  30	   3	 778	   1	   2	  19	  17	  17	  30	  70	  50	 356	144979	145757	   0	  70	
  54	  55	  70	   1	 393	   2	   1	  19	  18	  17	  30	  70	  50	 487	147540	147933	   0	  80	
  55	  56	  50	   4	1085	   3	   2	  19	  18	  18	  30	  70	  50	 302	149536	150621	   0	  80	
  56	  57	  30	   4	 478	   1	   2	  20	  18	  18	  30	  70	  50	 545	152463	152941	   0	  80	
  57	  58	  70	   2	 619	   2	   1	  20	  19	  18	  30	  70	  50	 440	154674	155293	   0	  70	
  58	  59	  50	   1	 672	   3	   1	  20	  19	  19	  30	  70	  50	 476	157069	157741	   0	  80	
  59	  60	  30	   4	 765	   1	   2	  21	  19	  19	  30	  70	  50	 642	159680	160445	   0	  80	
  60	  61	  50	   2	 998	   3	   1	  21	  19	  20	  30	  70	  50	 643	162391	163389	   0	  70	
  61	  62	  70	   1	 811	   2	   1	  21	  20	  20	  30	  70	  50	 518	165234	166045	   0	  80	
  62	  63	  50	   2	 857	   3	   1	  21	  20	  21	  30	  70	  50	 466	167812	168669	   0	  70	
  63	  64	  70	   1	 455	   2	   1	  21	  21	  21	  30	  70	  50	 415	170390	170845	   0	  80	
  64	  65	  50	   1	 509	   3	   1	  21	  21	  22	  30	  70	  50	 616	172768	173277	   0	  90	
  65	  66	  30	   3	 574	   1	   2	  22	  21	  22	  30	  70	  50	 683	175262	175836	   0	  90	
  66	  67	  70	   2	 581	   2	   1	  22	  22	  22	  30	  70	  50	 482	177623	178204	   0	  80	
  67	  68	  30	   2	 630	   1	   1	  23	  22	  22	  30	  70	  50	 608	180118	180748	   0	  70	
  68	  69	  50	   2	 862	   3	   1	  23	  22	  23	  30	  70	  50	 401	182446	183308	   0	  60	
  69	  70	  70	   1	 392	   2	   1	  23	  23	  23	  30	  70	  50	 539	185140	185532	   0	  70	
  70	  71	  50	   4	1317	   3	   2	  23	  23	  24	  30	  70	  50	 499	187335	188652	   0	  70	
  71	  72	  70	   1	 628	   2	   1	  23	  24	  24	  30	  70	  50	 332	190312	190940	   0	  80	
  72	  73	  50	   1	1026	   3	   1	  23	  24	  25	  30	  70	  50	 674	192906	193932	   0	  90	
  73	  74	  70	   1	 552	   2	   1	  23	  25	  25	  30	  70	  50	 467	195700	196252	   0	 100	
  74	  75	  50	   2	 481	   3	   1	  23	  25	  26	  30	  70	  50	 449	198011	198492	   0	  90	
  75	  76	  70	   2	 371	   2	   1	  23	  26	  26	  30	  70	  50	 686	200473	200844	   0	  80	
  76	  77	  50	   1	 442	   3	   1	  23	  26	  27	  30	  70	  50	 692	202834	203276	   0	  90	
  77	  78	  70	   1	 535	   2	   1	  23	  27	  27	  30	  70	  50	 462	205029	205564	   0	 100	
  78	  79	  50	   1	 379	   3	   1	  23	  27	  28	  30	  70	  50	 552	207424	207803	   0	 110	
  79	  80	  30	   4	 603	   1	   2	  24	  27	  28	  30	  70	  50	 439	209536	210139	   0	 110	
  80	  81	  70	   1	 413	   2	   1	  24	  28	  28	  30	  70	  50	 594	212030	212443	   0	 120	
  81	  82	  30	   4	 604	   1	   2	  25	  28	  28	  30	  70	  50	 398	214159	214763	   0	 120	
  82	  83	  50	   2	 627	   3	   1	  25	  28	  29	  30	  70	  50	 453	216520	217147	   0	 110	
  83	  84	  30	   3	 679	   1	   2	  26	  28	  29	  30	  70	  50	 490	218932	219611	   0	 110	
  84	  85	  70	   2	 625	   2	   1	  26	  29	  29	  30	  70	  50	 320	221226	221851	   0	 100	
  85	  86	  50	   1	 707	   3	   1	  26	  29	  30	  30	  70	  50	 564	223704	224411	   0	 110	
  86	  87	  70	   1	 553	   2	   1	  26	  30	  30	  30	  70	  50	 367	226082	226635	   0	 120	
  87	  88	  30	   4	1362	   3	   2	  26	  30	   1	  30	  70	  30	 406	228377	229739	   3	 120	
  88	  89	  30	   4	1377	   1	   2	  27	  30	   1	  30	  70	  30	 324	231354	232731	   0	 120	
  89	  90	  70	   1	 736	   2	   1	  27	  31	   1	  30	  70	  30	 330	234347	235083	   0	 130	
  90	  91	  30	   3	 684	   3	   2	  27	  31	   2	  30	  70	  30	 604	236991	237675	   0	 130	
  91	  92	  70	   2	 508	   2	   1	  27	  32	   2	  30	  70	  30	 488	239486	239994	   0	 120	
