Version: 1	Number of symbols: 3	Pictures exchange: true	Response Deadline: 2000
Trial_No	Virt_Trial_No	Prob_Shown	Feedback	RT	Stimulus_No	Resp	SymbolA_Stage	SymbolB_Stage	SymbolC_Stage	Prob_A	Prob_B	Prob_C	Jitter	StimOnset	RespOnset	Symbol_Changes	Bonus_sum
   1	   1	  30	   4	1636	   1	   2	   1	   0	   0	  30	  70	  50	 509	1816	3452	   0	   0	
   2	   2	  50	   4	 868	   3	   2	   1	   0	   1	  30	  70	  50	 687	5448	6316	   0	   0	
   3	   3	  30	   4	 486	   1	   2	   2	   0	   1	  30	  70	  50	 586	8214	8700	   0	   0	
   4	   4	  50	   3	 409	   3	   2	   2	   0	   2	  30	  70	  50	 560	10563	10972	   0	   0	
   5	   5	  70	   3	1240	   2	   2	   2	   1	   2	  30	  70	  50	 324	12596	13836	   0	   0	
   6	   6	  30	   4	 442	   1	   2	   3	   1	   2	  30	  70	  50	 651	15794	16236	   0	   0	
   7	   7	  50	   4	 816	   3	   2	   3	   1	   3	  30	  70	  50	 520	18060	18876	   0	   0	
   8	   8	  70	   1	 439	   2	   1	   3	   2	   3	  30	  70	  50	 508	20693	21132	   0	  10	
   9	   9	  50	   4	 805	   3	   2	   3	   2	   4	  30	  70	  50	 341	22775	23580	   0	  10	
  10	  10	  30	   3	 446	   1	   2	   4	   2	   4	  30	  70	  50	 470	25358	25804	   0	  10	
  11	  11	  50	   3	 802	   3	   2	   4	   2	   5	  30	  70	  50	 558	27690	28492	   0	  10	
  12	  12	  70	   1	 425	   2	   1	   4	   3	   5	  30	  70	  50	 527	30323	30748	   0	  20	
  13	  13	  50	   4	 607	   3	   2	   4	   3	   6	  30	  70	  50	 539	32589	33196	   0	  20	
  14	  14	  70	   2	 679	   2	   1	   4	   4	   6	  30	  70	  50	 330	34821	35500	   0	  10	
  15	  15	  50	   3	 478	   3	   2	   4	   4	   7	  30	  70	  50	 662	37454	37932	   0	  10	
  16	  16	  30	   3	 712	   1	   2	   5	   4	   7	  30	  70	  50	 396	39620	40332	   0	  10	
  17	  17	  70	   2	 415	   2	   1	   5	   5	   7	  30	  70	  50	 633	42269	42684	   0	   0	
  18	  18	  50	   3	 481	   3	   2	   5	   5	   8	  30	  70	  50	 642	44635	45116	   0	   0	
  19	  19	  70	   3	1405	   2	   2	   5	   6	   8	  30	  70	  50	 319	46751	48156	   0	   0	
  20	  20	  30	   4	 585	   1	   2	   6	   6	   8	  30	  70	  50	 630	50083	50668	   0	   0	
  21	  21	  50	   2	 967	   3	   1	   6	   6	   9	  30	  70	  50	 567	52565	53532	   0	 -10	
  22	  22	  30	   4	 674	   1	   2	   7	   6	   9	  30	  70	  50	 634	55481	56155	   0	 -10	
  23	  23	  50	   1	1995	   3	   1	   7	   6	  10	  30	  70	  50	 627	58080	60075	   0	   0	
  24	  24	  30	   4	 648	   1	   2	   8	   6	  10	  30	  70	  50	 382	61779	62427	   0	   0	
  25	  25	  70	   1	 397	   2	   1	   8	   7	  10	  30	  70	  50	 343	64078	64475	   0	  10	
  26	  26	  50	   3	1466	   3	   2	   8	   7	  11	  30	  70	  50	 386	66177	67643	   0	  10	
  27	  27	  30	   4	 592	   1	   2	   9	   7	  11	  30	  70	  50	 681	69643	70235	   0	  10	
  28	  28	  50	   4	 743	   3	   2	   9	   7	  12	  30	  70	  50	 357	71892	72635	   0	  10	
  29	  29	  70	   1	 399	   2	   1	   9	   8	  12	  30	  70	  50	 590	74524	74923	   0	  20	
  30	  30	  50	   3	 699	   3	   2	   9	   8	  13	  30	  70	  50	 403	76640	77339	   0	  20	
  31	  31	  70	   1	 627	   2	   1	   9	   9	  13	  30	  70	  50	 596	79256	79883	   0	  30	
  32	  32	  50	   3	1433	   3	   2	   9	   9	  14	  30	  70	  50	 340	81522	82955	   0	  30	
  33	  33	  30	   3	 547	   1	   2	  10	   9	  14	  30	  70	  50	 638	84904	85451	   0	  30	
  34	  34	  70	   2	 390	   2	   1	  10	  10	  14	  30	  70	  50	 487	87253	87643	   0	  20	
  35	  35	  30	   4	 470	   1	   2	  11	  10	  14	  30	  70	  50	 327	89269	89739	   0	  20	
  36	  36	  70	   1	 634	   2	   1	  11	  11	  14	  30	  70	  50	 529	91569	92203	   0	  30	
  37	  37	  50	   4	 907	   3	   2	  11	  11	  15	  30	  70	  50	 466	93984	94891	   0	  30	
  38	  38	  30	   3	 522	   1	   2	  12	  11	  15	  30	  70	  50	 643	96833	97355	   0	  30	
  39	  39	  70	   2	 540	   2	   1	  12	  12	  15	  30	  70	  50	 531	99199	99739	   0	  20	
  40	  40	  30	   4	 607	   1	   2	  13	  12	  15	  30	  70	  50	 507	101548	102155	   0	  20	
  41	  41	  50	   3	 579	   3	   2	  13	  12	  16	  30	  70	  50	 388	103864	104443	   0	  20	
  42	  42	  70	   1	 469	   2	   1	  13	  13	  16	  30	  70	  50	 471	106214	106683	   0	  30	
  43	  43	  30	   4	 503	   1	   2	  14	  13	  16	  30	  70	  50	 598	108596	109099	   0	  30	
  44	  44	  70	   1	 674	   2	   1	  14	  14	  16	  30	  70	  50	 316	110729	111403	   0	  40	
  45	  45	  50	   4	 530	   3	   2	  14	  14	  17	  30	  70	  50	 437	113145	113675	   0	  40	
  46	  46	  30	   4	 609	   1	   2	  15	  14	  17	  30	  70	  50	 630	115610	116219	   0	  40	
  47	  47	  70	   1	 414	   2	   1	  15	  15	  17	  30	  70	  50	 569	118093	118507	   0	  50	
  48	  48	  30	   3	 698	   1	   2	  16	  15	  17	  30	  70	  50	 412	120225	120923	   0	  50	
  49	  49	  70	   2	 604	   2	   1	  16	  16	  17	  30	  70	  50	 339	122575	123179	   0	  40	
  50	  50	  30	   4	 617	   1	   2	  17	  16	  17	  30	  70	  50	 583	125074	125691	   0	  40	
  51	  51	  70	   1	 639	   2	   1	  17	  17	  17	  30	  70	  50	 334	127356	127995	   0	  50	
  52	  52	  30	   4	 637	   1	   2	  18	  17	  17	  30	  70	  50	 520	129822	130459	   0	  50	
  53	  53	  70	   1	 546	   2	   1	  18	  18	  17	  30	  70	  50	 345	132105	132651	   0	  60	
  54	  54	  30	   3	 679	   1	   2	  19	  18	  17	  30	  70	  50	 453	134404	135083	   0	  60	
  55	  55	  70	   2	 644	   2	   1	  19	  19	  17	  30	  70	  50	 484	136870	137514	   0	  50	
  56	  56	  50	   4	 806	   3	   2	  19	  19	  18	  30	  70	  50	 442	139252	140058	   0	  50	
  57	  57	  30	   4	 479	   1	   2	  20	  19	  18	  30	  70	  50	 489	141851	142330	   0	  50	
  58	  58	  70	   1	 437	   2	   1	  20	  20	  18	  30	  70	  50	 494	144117	144554	   0	  60	
  59	  59	  50	   3	 675	   3	   2	  20	  20	  19	  30	  70	  50	 308	146167	146842	   0	  60	
  60	  60	  30	   4	 492	   1	   2	  21	  20	  19	  30	  70	  50	 642	148782	149274	   0	  60	
  61	  61	  50	   4	 765	   3	   2	  21	  20	  20	  30	  70	  50	 577	151165	151930	   0	  60	
  62	  62	  70	   1	 426	   2	   1	  21	  21	  20	  30	  70	  50	 427	153664	154090	   0	  70	
  63	  63	  50	   4	1571	   3	   2	  21	  21	  21	  30	  70	  50	 452	155847	157418	   0	  70	
  64	  64	  70	   2	 672	   2	   1	  21	  22	  21	  30	  70	  50	 446	159162	159834	   0	  60	
  65	  65	  50	   3	 674	   3	   2	  21	  22	  22	  30	  70	  50	 392	161528	162202	   0	  60	
  66	  66	  30	   3	 439	   1	   2	  22	  22	  22	  30	  70	  50	 319	163827	164266	   0	  60	
  67	  67	  70	   1	 466	   2	   1	  22	  23	  22	  30	  70	  50	 401	165976	166442	   0	  70	
  68	  68	  30	   4	 638	   1	   2	  23	  23	  22	  30	  70	  50	 339	168092	168730	   0	  70	
  69	  69	  50	   4	 588	   3	   2	  23	  23	  23	  30	  70	  50	 525	170558	171146	   0	  70	
  70	  70	  70	   1	 450	   2	   1	  23	  24	  23	  30	  70	  50	 370	172824	173274	   0	  80	
  71	  71	  50	   4	1142	   3	   2	  23	  24	  24	  30	  70	  50	 537	175540	176682	   0	  80	
  72	  72	  70	   1	 588	   2	   1	  23	  25	  24	  30	  70	  50	 632	178622	179210	   0	  90	
  73	  73	  50	   3	 627	   3	   2	  23	  25	  25	  30	  70	  50	 334	180855	181482	   0	  90	
  74	  74	  70	   2	 589	   2	   1	  23	  26	  25	  30	  70	  50	 642	183421	184010	   0	  80	
